Ojibwe,English,Words w/ Ambiguity,Pre-disambiguation CG Output,Expected CG Output,Notes
Izhi-wewebanaabiidaa nisawi-minis.,Let's go fishing (angling) between the islands.,"""<izhi-wewebanaabiidaa>""
	""wewebanaabii"" PVRel/izhi VAI Imp Del InclSubj
	""wewebanaabii"" PVRel/izhi VAI Imp Sim InclSubj","""<izhi-wewebanaabiidaa>""
	""wewebanaabii"" PVRel/izhi VAI Imp Del InclSubj
	""wewebanaabii"" PVRel/izhi VAI Imp Sim InclSubj
""<nisawi-minis>""
	""PNLex/nisawi"" minis NI Sg
""<.>""
","""<izhi-wewebanaabiidaa>""
	""wewebanaabii"" PVRel/izhi VAI Imp Del InclSubj
	""wewebanaabii"" PVRel/izhi VAI Imp Sim InclSubj
""<nisawi-minis>""
	""PNLex/nisawi"" minis NI Sg
""<.>""
",
Gaawiin osha wiin aabewaadizisii awe. Anooj igo inakamigizi.,He hasn't got all his marbles. He's doing it any old way.,"""<wiin>""
	""iiw"" NAD ObvPl 3SgProxPoss
	""iiw"" NAD ObvSg 3SgProxPoss
	""wiin"" PRONPer
	""wiin"" PCDisc","""<gaawiin>""
	""gaawiin"" ADVNeg
""<osha>""

""<wiin>""
	""iiw"" NAD ObvPl 3SgProxPoss
	""iiw"" NAD ObvSg 3SgProxPoss
	""wiin"" PRONPer
	""wiin"" PCDisc
""<aabewaadizisii>""

""<awe>""

""<.>""

""<anooj>""
	""anooj"" ADVQnt
""<igo>""
	""igo"" PCEmph
""<inakamigizi>""
	""inakamigizi"" VAI Ind Pos Neu 3SgProxSubj
""<.>""
","""<gaawiin>""
	""gaawiin"" ADVNeg
""<osha>""

""<wiin>""
	""iiw"" NAD ObvPl 3SgProxPoss
	""iiw"" NAD ObvSg 3SgProxPoss
	""wiin"" PRONPer
	""wiin"" PCDisc
""<aabewaadizisii>""

""<awe>""

""<.>""

""<anooj>""
	""anooj"" ADVQnt
""<igo>""
	""igo"" PCEmph
""<inakamigizi>""
	""inakamigizi"" VAI Ind Pos Neu 3SgProxSubj
""<.>""
",
Ogii-wiikwajitoon 'iw baataasenig wiikobijigan.,He tried to pull open the stuck drawer.,"""<baataasenig>""
	""baataase"" VII Cnj Pos Neu 0PlObvSubj
	""baataase"" VII Cnj Pos Neu 0SgObvSubj","""<ogii-wiikwajitoon>""
	""wiikwajitoon"" PVTense/gii VTI Ind Pos Neu 3SgProxSubj 0SgObj
""<'iw>""

""<baataasenig>""
	""baataase"" VII Cnj Pos Neu 0PlObvSubj
	""baataase"" VII Cnj Pos Neu 0SgObvSubj
""<wiikobijigan>""
	""wiikobijigan"" NI Sg
""<.>""
","""<ogii-wiikwajitoon>""
	""wiikwajitoon"" PVTense/gii VTI Ind Pos Neu 3SgProxSubj 0SgObj
""<'iw>""

""<baataasenig>""
	""baataase"" VII Cnj Pos Neu 0PlObvSubj
	""baataase"" VII Cnj Pos Neu 0SgObvSubj
""<wiikobijigan>""
	""wiikobijigan"" NI Sg
""<.>""
",
Gagwe-minotoon iwe zhiiwaagamizigan wezhitooyin.,Try and make the syrup you're making good.,"""<gagwe-minotoon>""
	""minotoon"" PVLex/gagwe VTI Imp Sim 2SgSubj 0SgObj
	""minotoon"" PVLex/gagwe VTI Imp Sim 2SgSubj 0PlObj","""<gagwe-minotoon>""
	""minotoon"" PVLex/gagwe VTI Imp Sim 2SgSubj 0SgObj
	""minotoon"" PVLex/gagwe VTI Imp Sim 2SgSubj 0PlObj
""<iwe>""

""<zhiiwaagamizigan>""
	""zhiiwaagamizigan"" NI Sg
""<wezhitooyin>""

""<.>""
","""<gagwe-minotoon>""
	""minotoon"" PVLex/gagwe VTI Imp Sim 2SgSubj 0SgObj
	""minotoon"" PVLex/gagwe VTI Imp Sim 2SgSubj 0PlObj
""<iwe>""

""<zhiiwaagamizigan>""
	""zhiiwaagamizigan"" NI Sg
""<wezhitooyin>""

""<.>""
",
Zhiibaayaandag agoodoon ginagwaagan.,Hang your snare under the boughs.,"""<agoodoon>""
	""agoodoo"" VAI Imp Sim 2SgSubj
	""agoodoon"" VTI Imp Sim 2SgSubj 0SgObj
	""agoodoon"" VTI Imp Sim 2SgSubj 0PlObj","""<zhiibaayaandag>""
	""zhiibaayaandag"" ADVLoc
""<agoodoon>""
	""agoodoo"" VAI Imp Sim 2SgSubj
	""agoodoon"" VTI Imp Sim 2SgSubj 0SgObj
	""agoodoon"" VTI Imp Sim 2SgSubj 0PlObj
""<ginagwaagan>""
	""nagwaagan"" NI Sg 2SgPoss
""<.>""
","""<zhiibaayaandag>""
	""zhiibaayaandag"" ADVLoc
""<agoodoon>""
	""agoodoo"" VAI Imp Sim 2SgSubj
	""agoodoon"" VTI Imp Sim 2SgSubj 0SgObj
	""agoodoon"" VTI Imp Sim 2SgSubj 0PlObj
""<ginagwaagan>""
	""nagwaagan"" NI Sg 2SgPoss
""<.>""
",
Odabizwaa' ominjikaawanini jibwaa-biizikamoonaad oniijaanisan.,She warms up her child's mitts before she puts them on him.,"""<odabizwaa'>""
	""abizwi"" VTA Ind Pos Neu 3SgProxSubj 3PlObvObj
	""abiz"" VTA Ind Pos Neu 3SgProxSubj 3PlObvObj
""<ominjikaawanini>""
	""minjikaawan"" NA ObvPl 3PlObvPoss
	""minjikaawan"" NA ObvSg 3PlObvPoss
	""minjikaawan"" NA ObvPl 3SgObvPoss
	""minjikaawan"" NA ObvSg 3SgObvPoss
""<jibwaa-biizikamoonaad>""
	""biizikamoozh"" PVTense/jibwaa VTA Cnj Pos Neu 3SgProxSubj 3SgObvObj
	""biizikamoozh"" PVTense/jibwaa VTA Cnj Pos Neu 3SgProxSubj 3PlObvObj
""<oniijaanisan>""
	""niijaanis"" NAD ObvPl 3SgProxPoss
	""niijaanis"" NAD ObvSg 3SgProxPoss","""<odabizwaa'>""
	""abizwi"" VTA Ind Pos Neu 3SgProxSubj 3PlObvObj
	""abiz"" VTA Ind Pos Neu 3SgProxSubj 3PlObvObj
""<ominjikaawanini>""
	""minjikaawan"" NA ObvPl 3PlObvPoss
	""minjikaawan"" NA ObvSg 3PlObvPoss
	""minjikaawan"" NA ObvPl 3SgObvPoss
	""minjikaawan"" NA ObvSg 3SgObvPoss
""<jibwaa-biizikamoonaad>""
	""biizikamoozh"" PVTense/jibwaa VTA Cnj Pos Neu 3SgProxSubj 3SgObvObj
	""biizikamoozh"" PVTense/jibwaa VTA Cnj Pos Neu 3SgProxSubj 3PlObvObj
""<oniijaanisan>""
	""niijaanis"" NAD ObvPl 3SgProxPoss
	""niijaanis"" NAD ObvSg 3SgProxPoss
""<.>""
","""<odabizwaa'>""
	""abizwi"" VTA Ind Pos Neu 3SgProxSubj 3PlObvObj
	""abiz"" VTA Ind Pos Neu 3SgProxSubj 3PlObvObj
""<ominjikaawanini>""
	""minjikaawan"" NA ObvPl 3PlObvPoss
	""minjikaawan"" NA ObvSg 3PlObvPoss
	""minjikaawan"" NA ObvPl 3SgObvPoss
	""minjikaawan"" NA ObvSg 3SgObvPoss
""<jibwaa-biizikamoonaad>""
	""biizikamoozh"" PVTense/jibwaa VTA Cnj Pos Neu 3SgProxSubj 3SgObvObj
	""biizikamoozh"" PVTense/jibwaa VTA Cnj Pos Neu 3SgProxSubj 3PlObvObj
""<oniijaanisan>""
	""niijaanis"" NAD ObvPl 3SgProxPoss
	""niijaanis"" NAD ObvSg 3SgProxPoss
""<.>""
",
Biminizha'an imaa ezising mazina'iganing.,Follow what's printed on the paper.,"""<biminizha'an>""
	""biminizha'an"" VTI Imp Sim 2SgSubj 0SgObj
	""biminizha'an"" VTI Imp Sim 2SgSubj 0PlObj
""<mazina'iganing>""
	""mazina'igan"" NA Loc
	""mazina'igan"" NI Loc","""<biminizha'an>""
	""biminizha'an"" VTI Imp Sim 2SgSubj 0SgObj
	""biminizha'an"" VTI Imp Sim 2SgSubj 0PlObj
""<imaa>""
	""imaa"" ADVLoc
""<ezising>""
	""izisin"" VII Pcp Pos Neu 0SgSubj 0SgHead
""<mazina'iganing>""
	""mazina'igan"" NA Loc
	""mazina'igan"" NI Loc
""<.>""
","""<biminizha'an>""
	""biminizha'an"" VTI Imp Sim 2SgSubj 0SgObj
	""biminizha'an"" VTI Imp Sim 2SgSubj 0PlObj
""<imaa>""
	""imaa"" ADVLoc
""<ezising>""
	""izisin"" VII Pcp Pos Neu 0SgSubj 0SgHead
""<mazina'iganing>""
	""mazina'igan"" NA Loc
	""mazina'igan"" NI Loc
""<.>""
",
Ogii-piminizha'aan 'iw ezisininig 'i mazina'igan gii-asigisidood i'iw ataasowin.,He followed the directions when he assembled the cabinet.,"""<mazina'igan>""
	""mazina'igan"" NA ProxSg
	""mazina'igan"" NI Sg
""<gii-asigisidood>""
	""asigisidoon"" PVTense/gii VTI Cnj Pos Neu 3SgProxSubj 0SgObj
	""asigisidoon"" PVTense/gii VTI Cnj Pos Neu 3SgProxSubj 0PlObj","""<ogii-piminizha'aan>""
	""biminizha'an"" PVTense/gii VTI Ind Pos Neu 3SgProxSubj 0SgObj
""<'iw>""

""<ezisininig>""
	""izisin"" VII Pcp Pos Neu 0SgObvSubj 0SgObvHead
""<'i>""

""<mazina'igan>""
	""mazina'igan"" NA ProxSg
	""mazina'igan"" NI Sg
""<gii-asigisidood>""
	""asigisidoon"" PVTense/gii VTI Cnj Pos Neu 3SgProxSubj 0SgObj
	""asigisidoon"" PVTense/gii VTI Cnj Pos Neu 3SgProxSubj 0PlObj
""<i'iw>""
	""i'iw"" PRONDem
""<ataasowin>""
	""ataasowin"" NI Sg
""<.>""
","""<ogii-piminizha'aan>""
	""biminizha'an"" PVTense/gii VTI Ind Pos Neu 3SgProxSubj 0SgObj
""<'iw>""

""<ezisininig>""
	""izisin"" VII Pcp Pos Neu 0SgObvSubj 0SgObvHead
""<'i>""

""<mazina'igan>""
	""mazina'igan"" NA ProxSg
	""mazina'igan"" NI Sg
""<gii-asigisidood>""
	""asigisidoon"" PVTense/gii VTI Cnj Pos Neu 3SgProxSubj 0SgObj
	""asigisidoon"" PVTense/gii VTI Cnj Pos Neu 3SgProxSubj 0PlObj
""<i'iw>""
	""i'iw"" PRONDem
""<ataasowin>""
	""ataasowin"" NI Sg
""<.>""
",
Don ogii'-wiiji-wanii'igemaan oosan gabe-biboon.,Don trapped with his dad all winter long.,"""<ogii'-wiiji-wanii'igemaan>""
	""wiiji-wanii'igem"" PVTense/gii' VTA Ind Pos Neu 3SgProxSubj 3SgObvObj
	""wiiji-wanii'igem"" PVTense/gii' VTA Ind Pos Neu 3SgProxSubj 3PlObvObj
""<oosan>""
	""oos"" NAD ObvPl 3SgProxPoss
	""oos"" NAD ObvSg 3SgProxPoss
""<gabe-biboon>""
	""biboon"" PVLex/gabe VII Ind Pos Neu 0SgSubj
	""gabe-biboon"" ADVTmp","""<don>""

""<ogii'-wiiji-wanii'igemaan>""
	""wiiji-wanii'igem"" PVTense/gii' VTA Ind Pos Neu 3SgProxSubj 3SgObvObj
	""wiiji-wanii'igem"" PVTense/gii' VTA Ind Pos Neu 3SgProxSubj 3PlObvObj
""<oosan>""
	""oos"" NAD ObvPl 3SgProxPoss
	""oos"" NAD ObvSg 3SgProxPoss
""<gabe-biboon>""
	""biboon"" PVLex/gabe VII Ind Pos Neu 0SgSubj
	""gabe-biboon"" ADVTmp
""<.>""
","""<don>""

""<ogii'-wiiji-wanii'igemaan>""
	""wiiji-wanii'igem"" PVTense/gii' VTA Ind Pos Neu 3SgProxSubj 3SgObvObj
	""wiiji-wanii'igem"" PVTense/gii' VTA Ind Pos Neu 3SgProxSubj 3PlObvObj
""<oosan>""
	""oos"" NAD ObvPl 3SgProxPoss
	""oos"" NAD ObvSg 3SgProxPoss
""<gabe-biboon>""
	""biboon"" PVLex/gabe VII Ind Pos Neu 0SgSubj
	""gabe-biboon"" ADVTmp
""<.>""
",
Giga-wiiji-giiyosemin. Mooz giga-andawaabamaanaan,I'll go hunting with you. We'll go look for a moose.,"""<giga-wiiji-giiyosemin>""
	""wiiji-giiyosem"" PVTense/ga VTA Ind Pos Neu 1SgSubj 2SgObj
	""PVLex/wiiji"" PVTense/ga giiyose VAI Ind Pos Neu InclSubj
""<mooz>""
	""moonz"" NA ProxSg
	""mooz"" NA ProxSg
""<giga-andawaabamaanaan>""
	""andawaabam"" PVTense/ga VTA Ind Pos Neu InclSubj 3SgObvObj
	""andawaabam"" PVTense/ga VTA Ind Pos Neu InclSubj 3SgProxObj","""<giga-wiiji-giiyosemin>""
	""wiiji-giiyosem"" PVTense/ga VTA Ind Pos Neu 1SgSubj 2SgObj
	""PVLex/wiiji"" PVTense/ga giiyose VAI Ind Pos Neu InclSubj
""<.>""

""<mooz>""
	""moonz"" NA ProxSg
	""mooz"" NA ProxSg
""<giga-andawaabamaanaan>""
	""andawaabam"" PVTense/ga VTA Ind Pos Neu InclSubj 3SgObvObj
	""andawaabam"" PVTense/ga VTA Ind Pos Neu InclSubj 3SgProxObj","""<giga-wiiji-giiyosemin>""
	""wiiji-giiyosem"" PVTense/ga VTA Ind Pos Neu 1SgSubj 2SgObj
	""PVLex/wiiji"" PVTense/ga giiyose VAI Ind Pos Neu InclSubj
""<.>""

""<mooz>""
	""moonz"" NA ProxSg
	""mooz"" NA ProxSg
""<giga-andawaabamaanaan>""
	""andawaabam"" PVTense/ga VTA Ind Pos Neu InclSubj 3SgObvObj
	""andawaabam"" PVTense/ga VTA Ind Pos Neu InclSubj 3SgProxObj",
Ogii-kinoosidoon 'i aadizookaan gaa-tibaadodang.,He made the legend he told long.,"""<aadizookaan>""
	""aadizookaan"" NA ProxSg
	""aadizookaan"" NI Sg","""<ogii-kinoosidoon>""

""<'i>""

""<aadizookaan>""
	""aadizookaan"" NA ProxSg
	""aadizookaan"" NI Sg
""<gaa-tibaadodang>""

""<.>""
","""<ogii-kinoosidoon>""

""<'i>""

""<aadizookaan>""
	""aadizookaan"" NA ProxSg
	""aadizookaan"" NI Sg
""<gaa-tibaadodang>""

""<.>""
",
Niibowa miinan gii-ayaawan noongom gii-niibing.,There were a lot of blueberries this summer.,"""<miinan>""
	""miinan"" NI Pl
	""miin"" NI Pl
""<gii-ayaawan>""
	""ayaa"" PVTense/gii VII Ind Pos Neu 0PlSubj
	""ayaa"" PVTense/gii VAI Ind Pos Neu 3PlObvSubj
	""ayaa"" PVTense/gii VAI Ind Pos Neu 3SgObvSubj
""<gii-niibing>""
	""niibin"" PVTense/gii VII Cnj Pos Neu 0SgSubj
	""niibin"" PVTense/gii VII Cnj Pos Neu 0PlSubj","""<niibowa>""
	""niibowa"" ADVQnt
""<miinan>""
	""miinan"" NI Pl
	""miin"" NI Pl
""<gii-ayaawan>""
	""ayaa"" PVTense/gii VII Ind Pos Neu 0PlSubj
	""ayaa"" PVTense/gii VAI Ind Pos Neu 3PlObvSubj
	""ayaa"" PVTense/gii VAI Ind Pos Neu 3SgObvSubj
""<noongom>""
	""noongom"" ADVTmp
""<gii-niibing>""
	""niibin"" PVTense/gii VII Cnj Pos Neu 0SgSubj
	""niibin"" PVTense/gii VII Cnj Pos Neu 0PlSubj
""<.>""
","""<niibowa>""
	""niibowa"" ADVQnt
""<miinan>""
	""miinan"" NI Pl
	""miin"" NI Pl
""<gii-ayaawan>""
	""ayaa"" PVTense/gii VII Ind Pos Neu 0PlSubj
	""ayaa"" PVTense/gii VAI Ind Pos Neu 3PlObvSubj
	""ayaa"" PVTense/gii VAI Ind Pos Neu 3SgObvSubj
""<noongom>""
	""noongom"" ADVTmp
""<gii-niibing>""
	""niibin"" PVTense/gii VII Cnj Pos Neu 0SgSubj
	""niibin"" PVTense/gii VII Cnj Pos Neu 0PlSubj
""<.>""
",
Mii 'iw aangwaamas gii-odisidiwaad igiweg niizhoodenyag.,The twins finally met [they haven't seen each other for a long time].,"""<gii-odisidiwaad>""
	""odish"" PVTense/gii VTA Recip/di VAI Cnj Pos Neu 3PlProxSubj 3PlProxObj
	""odisidiwag"" PVTense/gii VAI Cnj Pos Neu 3PlProxSubj 3PlProxObj","""<mii>""
	""mii"" ADVPred
""<'iw>""

""<aangwaamas>""
	""aangwaamas"" ADVTmp
""<gii-odisidiwaad>""
	""odish"" PVTense/gii VTA Recip/di VAI Cnj Pos Neu 3PlProxSubj 3PlProxObj
	""odisidiwag"" PVTense/gii VAI Cnj Pos Neu 3PlProxSubj 3PlProxObj
""<igiweg>""
	""igiweg"" PRONDem
""<niizhoodenyag>""
	""niizhoodenh"" NA ProxPl
""<.>""
","""<mii>""
	""mii"" ADVPred
""<'iw>""

""<aangwaamas>""
	""aangwaamas"" ADVTmp
""<gii-odisidiwaad>""
	""odish"" PVTense/gii VTA Recip/di VAI Cnj Pos Neu 3PlProxSubj 3PlProxObj
	""odisidiwag"" PVTense/gii VAI Cnj Pos Neu 3PlProxSubj 3PlProxObj
""<igiweg>""
	""igiweg"" PRONDem
""<niizhoodenyag>""
	""niizhoodenh"" NA ProxPl
""<.>""
",
Nimisenh ko ingii-wiindamaag wiin iidog gii-kaandakii'ige gii-... gii-manoominikewaad.,My sister told me that she was the one who poled (the boat) when they were ricing.,"""<wiin>""
	""iiw"" NAD ObvPl 3SgProxPoss
	""iiw"" NAD ObvSg 3SgProxPoss
	""wiin"" PRONPer
	""wiin"" PCDisc","""<nimisenh>""
	""miseny"" NAD ProxSg 1SgPoss
""<ko>""
	""ko"" PCAsp
""<ingii-wiindamaag>""
	""wiindamaw"" PVTense/gii VTA Ind Pos Neu 3SgProxSubj 1SgObj
""<wiin>""
	""iiw"" NAD ObvPl 3SgProxPoss
	""iiw"" NAD ObvSg 3SgProxPoss
	""wiin"" PRONPer
	""wiin"" PCDisc
""<iidog>""
	""iidog"" PCAsp
""<gii-kaandakii'ige>""
	""gaandakii'ige"" PVTense/gii VAI Ind Pos Neu 3SgProxSubj
""<gii-..>""

""<.>""

""<gii-manoominikewaad>""
	""manoominike"" PVTense/gii VAI Cnj Pos Neu 3PlProxSubj
""<.>""
","""<nimisenh>""
	""miseny"" NAD ProxSg 1SgPoss
""<ko>""
	""ko"" PCAsp
""<ingii-wiindamaag>""
	""wiindamaw"" PVTense/gii VTA Ind Pos Neu 3SgProxSubj 1SgObj
""<wiin>""
	""iiw"" NAD ObvPl 3SgProxPoss
	""iiw"" NAD ObvSg 3SgProxPoss
	""wiin"" PRONPer
	""wiin"" PCDisc
""<iidog>""
	""iidog"" PCAsp
""<gii-kaandakii'ige>""
	""gaandakii'ige"" PVTense/gii VAI Ind Pos Neu 3SgProxSubj
""<gii-..>""

""<.>""

""<gii-manoominikewaad>""
	""manoominike"" PVTense/gii VAI Cnj Pos Neu 3PlProxSubj
""<.>""
",
Aandakidoon 'iw agwaakwa'igan.,Stick that sign someplace else.,"""<aandakidoon>""
	""aandakidoon"" VTI Imp Sim 2SgSubj 0SgObj
	""aandakidoon"" VTI Imp Sim 2SgSubj 0PlObj","""<aandakidoon>""
	""aandakidoon"" VTI Imp Sim 2SgSubj 0SgObj
	""aandakidoon"" VTI Imp Sim 2SgSubj 0PlObj
""<'iw>""

""<agwaakwa'igan>""
	""agwaakwa'igan"" NI Sg
""<.>""
","""<aandakidoon>""
	""aandakidoon"" VTI Imp Sim 2SgSubj 0SgObj
	""aandakidoon"" VTI Imp Sim 2SgSubj 0PlObj
""<'iw>""

""<agwaakwa'igan>""
	""agwaakwa'igan"" NI Sg
""<.>""
",
Waasaanzhe 'iw gaa-o-badakidooyaan agwaakwa'igan.,The sign I erected reflects back.,"""<gaa-o-badakidooyaan>""
	""PVDir/o"" PVSub/gaa badakidoon VTI Cnj Pos Neu 1SgSubj 0PlObj
	""PVDir/o"" PVSub/gaa badakidoon VTI Cnj Pos Neu 1SgSubj 0SgObj","""<waasaanzhe>""

""<'iw>""

""<gaa-o-badakidooyaan>""
	""PVDir/o"" PVSub/gaa badakidoon VTI Cnj Pos Neu 1SgSubj 0PlObj
	""PVDir/o"" PVSub/gaa badakidoon VTI Cnj Pos Neu 1SgSubj 0SgObj
""<agwaakwa'igan>""
	""agwaakwa'igan"" NI Sg
""<.>""
","""<waasaanzhe>""

""<'iw>""

""<gaa-o-badakidooyaan>""
	""PVDir/o"" PVSub/gaa badakidoon VTI Cnj Pos Neu 1SgSubj 0PlObj
	""PVDir/o"" PVSub/gaa badakidoon VTI Cnj Pos Neu 1SgSubj 0SgObj
""<agwaakwa'igan>""
	""agwaakwa'igan"" NI Sg
""<.>""
",
Giimooj ogii-kagiikimaan iniwe odikwezensiman imaa epiitakamigadinig.,He secretly wooed his girlfriend during the ceremony.,"""<ogii-kagiikimaan>""
	""gagiikim"" PVTense/gii VTA Ind Pos Neu 3SgProxSubj 3SgObvObj
	""gagiikim"" PVTense/gii VTA Ind Pos Neu 3SgProxSubj 3PlObvObj
""<odikwezensiman>""
	""ikwezens"" NA Poss ObvSg 3SgProxPoss
	""ikwezens"" NA Poss ObvPl 3SgProxPoss","""<giimooj>""
	""giimooj"" ADVMan
""<ogii-kagiikimaan>""
	""gagiikim"" PVTense/gii VTA Ind Pos Neu 3SgProxSubj 3SgObvObj
	""gagiikim"" PVTense/gii VTA Ind Pos Neu 3SgProxSubj 3PlObvObj
""<iniwe>""
	""iniwe"" PRONDem
""<odikwezensiman>""
	""ikwezens"" NA Poss ObvSg 3SgProxPoss
	""ikwezens"" NA Poss ObvPl 3SgProxPoss
""<imaa>""
	""imaa"" ADVLoc
""<epiitakamigadinig>""
	""apiitakamigad"" VII Pcp Pos Neu 0SgObvSubj 0SgObvHead
""<.>""
","""<giimooj>""
	""giimooj"" ADVMan
""<ogii-kagiikimaan>""
	""gagiikim"" PVTense/gii VTA Ind Pos Neu 3SgProxSubj 3SgObvObj
	""gagiikim"" PVTense/gii VTA Ind Pos Neu 3SgProxSubj 3PlObvObj
""<iniwe>""
	""iniwe"" PRONDem
""<odikwezensiman>""
	""ikwezens"" NA Poss ObvSg 3SgProxPoss
	""ikwezens"" NA Poss ObvPl 3SgProxPoss
""<imaa>""
	""imaa"" ADVLoc
""<epiitakamigadinig>""
	""apiitakamigad"" VII Pcp Pos Neu 0SgObvSubj 0SgObvHead
""<.>""
",
Weweni ganawendan ini gaa-izhi-gagiikimigooyan. Giga-mino-ayaa aapiji.,Pay close attention to how they preach to you. You will live better (if you heed it).,"""<ganawendan>""
	""ganawendan"" VTI Imp Sim 2SgSubj 0SgObj
	""ganawendan"" VTI Imp Sim 2SgSubj 0PlObj
""<gaa-izhi-gagiikimigooyan>""
	""PVRel/izhi"" PVSub/gaa gagiikim VTA Cnj Pos Neu ExclSubj 2SgObj
	""PVRel/izhi"" PVSub/gaa gagiikim VTA Cnj Pos Neu XSubj 2SgObj
""<giga-mino-ayaa>""
	""mino-ayaa"" PVTense/ga VAI Ind Pos Neu 2SgSubj
	""PVLex/mino"" PVTense/ga ayaa VAI Ind Pos Neu 2SgSubj","""<weweni>""
	""weweni"" ADVMan
""<ganawendan>""
	""ganawendan"" VTI Imp Sim 2SgSubj 0SgObj
	""ganawendan"" VTI Imp Sim 2SgSubj 0PlObj
""<ini>""

""<gaa-izhi-gagiikimigooyan>""
	""PVRel/izhi"" PVSub/gaa gagiikim VTA Cnj Pos Neu ExclSubj 2SgObj
	""PVRel/izhi"" PVSub/gaa gagiikim VTA Cnj Pos Neu XSubj 2SgObj
""<.>""

""<giga-mino-ayaa>""
	""mino-ayaa"" PVTense/ga VAI Ind Pos Neu 2SgSubj
	""PVLex/mino"" PVTense/ga ayaa VAI Ind Pos Neu 2SgSubj
""<aapiji>""
	""aapiji"" AVDDeg
""<.>""
","""<weweni>""
	""weweni"" ADVMan
""<ganawendan>""
	""ganawendan"" VTI Imp Sim 2SgSubj 0SgObj
	""ganawendan"" VTI Imp Sim 2SgSubj 0PlObj
""<ini>""

""<gaa-izhi-gagiikimigooyan>""
	""PVRel/izhi"" PVSub/gaa gagiikim VTA Cnj Pos Neu ExclSubj 2SgObj
	""PVRel/izhi"" PVSub/gaa gagiikim VTA Cnj Pos Neu XSubj 2SgObj
""<.>""

""<giga-mino-ayaa>""
	""mino-ayaa"" PVTense/ga VAI Ind Pos Neu 2SgSubj
	""PVLex/mino"" PVTense/ga ayaa VAI Ind Pos Neu 2SgSubj
""<aapiji>""
	""aapiji"" AVDDeg
""<.>""
",
Animikoshim gidakikoog jibwaa-biinzibiiwaad gii-gimiwang.,Put your kettles up upside down before they get water in them from the rain.,"""<animikoshim>""
	""animikoshim"" VTA Imp Sim 2SgSubj 3SgProxObj
	""animikoshim"" VTA Imp Sim 2SgSubj 3PlProxObj","""<animikoshim>""
	""animikoshim"" VTA Imp Sim 2SgSubj 3SgProxObj
	""animikoshim"" VTA Imp Sim 2SgSubj 3PlProxObj
""<gidakikoog>""
	""akik"" NA ProxPl 2SgPoss
""<jibwaa-biinzibiiwaad>""

""<gii-gimiwang>""

""<.>""
","""<animikoshim>""
	""animikoshim"" VTA Imp Sim 2SgSubj 3SgProxObj
	""animikoshim"" VTA Imp Sim 2SgSubj 3PlProxObj
""<gidakikoog>""
	""akik"" NA ProxPl 2SgPoss
""<jibwaa-biinzibiiwaad>""

""<gii-gimiwang>""

""<.>""
",
Mii miinawaa ji-niimi'iding iwidi gaa-waabaabiganikaang aabitawangizod awe ode'imini-giizis.,They're going to have a pow-wow again at White Earth on the fifteenth of June.,"""<ji-niimi'iding>""
	""niimi'"" PVTense/daa VTA Recip/di VAI Cnj Pos Neu XSubj XObj
	""niimi'"" PVTense/ga VTA Recip/di VAI Cnj Pos Neu XSubj XObj
	""niimi'idiwag"" PVTense/daa VAI Cnj Pos Neu XSubj XObj
	""niimi'idiwag"" PVTense/ga VAI Cnj Pos Neu XSubj XObj","""<mii>""
	""mii"" ADVPred
""<miinawaa>""
	""miinawaa"" ADVConj
""<ji-niimi'iding>""
	""niimi'"" PVTense/daa VTA Recip/di VAI Cnj Pos Neu XSubj XObj
	""niimi'"" PVTense/ga VTA Recip/di VAI Cnj Pos Neu XSubj XObj
	""niimi'idiwag"" PVTense/daa VAI Cnj Pos Neu XSubj XObj
	""niimi'idiwag"" PVTense/ga VAI Cnj Pos Neu XSubj XObj
""<iwidi>""
	""iwidi"" ADVLoc
""<gaa-waabaabiganikaang>""

""<aabitawangizod>""
	""aabitawangizo"" VAI Cnj Pos Neu 3SgProxSubj
""<awe>""

""<ode'imini-giizis>""
	""ode'imini-giizis"" NA ProxSg
""<.>""
","""<mii>""
	""mii"" ADVPred
""<miinawaa>""
	""miinawaa"" ADVConj
""<ji-niimi'iding>""
	""niimi'"" PVTense/daa VTA Recip/di VAI Cnj Pos Neu XSubj XObj
	""niimi'"" PVTense/ga VTA Recip/di VAI Cnj Pos Neu XSubj XObj
	""niimi'idiwag"" PVTense/daa VAI Cnj Pos Neu XSubj XObj
	""niimi'idiwag"" PVTense/ga VAI Cnj Pos Neu XSubj XObj
""<iwidi>""
	""iwidi"" ADVLoc
""<gaa-waabaabiganikaang>""

""<aabitawangizod>""
	""aabitawangizo"" VAI Cnj Pos Neu 3SgProxSubj
""<awe>""

""<ode'imini-giizis>""
	""ode'imini-giizis"" NA ProxSg
""<.>""
",
Aaniin epiichibizod.,How fast is he driving?,"""<aaniin>""
	""aaniin"" PCInterj
	""aaniin"" ADVInter","""<aaniin>""
	""aaniin"" PCInterj
	""aaniin"" ADVInter
""<epiichibizod>""
	""apiichibizo"" VAI Pcp Pos Neu 3SgProxSubj 3SgProxHead
""<.>""
","""<aaniin>""
	""aaniin"" PCInterj
	""aaniin"" ADVInter
""<epiichibizod>""
	""apiichibizo"" VAI Pcp Pos Neu 3SgProxSubj 3SgProxHead
""<.>""
",
