ojibwe,english,word_with_ambiguity,fst_readings
Ogii-pishigonaan iw owewebanaabaan gaa-onji-bakobiisenig.,His fishing pole fell in because it slipped out of his hands.,"{'word_form': 'ogii-pishigonaan', 'fst_analyses': ['PVTense/gii+bishigon+VTA+Ind+Pos+Neu+3SgProxSubj+3SgObvObj', 'PVTense/gii+bishigon+VTA+Ind+Pos+Neu+3SgProxSubj+3PlObvObj', 'PVTense/gii+bishigonan+VTI+Ind+Pos+Neu+3SgProxSubj+0SgObj']}","[{'word_form': 'ogii-pishigonaan', 'fst_analyses': ['PVTense/gii+bishigon+VTA+Ind+Pos+Neu+3SgProxSubj+3SgObvObj', 'PVTense/gii+bishigon+VTA+Ind+Pos+Neu+3SgProxSubj+3PlObvObj', 'PVTense/gii+bishigonan+VTI+Ind+Pos+Neu+3SgProxSubj+0SgObj']}, {'word_form': 'iw', 'fst_analyses': ['iw+PRONDem']}, {'word_form': 'owewebanaabaan', 'fst_analyses': ['wewebanaabaan+NI+Sg+3SgProxPoss']}, {'word_form': 'gaa-onji-bakobiisenig', 'fst_analyses': ['PVSub/gaa+PVRel/onji+bakobiise+VII+Cnj+Pos+Neu+0PlObvSubj', 'PVSub/gaa+PVRel/onji+bakobiise+VII+Cnj+Pos+Neu+0SgObvSubj', 'PVTense/gii+PVRel/onji+bakobiise+VII+Pcp+Pos+Neu+0SgObvSubj+0SgObvHead']}, {'word_form': '.', 'fst_analyses': []}]"
Debinaak odizhitoon gaa-ozhitood wiigwaasinaagan.,She's  making that birch bark basket in a rough way.,"{'word_form': 'debinaak', 'fst_analyses': ['debinaw+VTA+Cnj+Pos+Neu+3SgProxSubj+2SgObj', 'debinaak+ADVMan']}","[{'word_form': 'debinaak', 'fst_analyses': ['debinaw+VTA+Cnj+Pos+Neu+3SgProxSubj+2SgObj', 'debinaak+ADVMan']}, {'word_form': 'odizhitoon', 'fst_analyses': ['izhitoon+VTI+Ind+Pos+Neu+3SgProxSubj+0SgObj']}, {'word_form': 'gaa-ozhitood', 'fst_analyses': ['PVSub/gaa+ozhitoon+VTI+Cnj+Pos+Neu+3SgProxSubj+0SgObj', 'PVSub/gaa+ozhitoon+VTI+Cnj+Pos+Neu+3SgProxSubj+0PlObj']}, {'word_form': 'wiigwaasinaagan', 'fst_analyses': ['wiigwaasinaagan+NI+Sg']}, {'word_form': '.', 'fst_analyses': []}]"
Agwanaatesidoon gimawinzwaanan jibwaa-baashkijiidegin.,Put your blueberries in the shade before they burst open from the sun.,"{'word_form': 'agwanaatesidoon', 'fst_analyses': ['agwanaatesidoon+VTI+Imp+Sim+2SgSubj+0SgObj', 'agwanaatesidoon+VTI+Imp+Sim+2SgSubj+0PlObj']}","[{'word_form': 'agwanaatesidoon', 'fst_analyses': ['agwanaatesidoon+VTI+Imp+Sim+2SgSubj+0SgObj', 'agwanaatesidoon+VTI+Imp+Sim+2SgSubj+0PlObj']}, {'word_form': 'gimawinzwaanan', 'fst_analyses': ['mawinzwaan+NI+Pl+2SgPoss']}, {'word_form': 'jibwaa-baashkijiidegin', 'fst_analyses': ['PVTense/jibwaa+baashkijiide+VII+Cnj+Pos+Neu+0PlSubj']}, {'word_form': '.', 'fst_analyses': []}]"
Nimbaninaan iwe onaagaans ezhi-biigosing.,I dropped the cup and it broke.,"{'word_form': 'onaagaans', 'fst_analyses': ['onaagaans+NI+Sg', 'onaagan+NI+Dim+Sg']}","[{'word_form': 'nimbaninaan', 'fst_analyses': ['baninan+VTI+Ind+Pos+Neu+1SgSubj+0SgObj']}, {'word_form': 'iwe', 'fst_analyses': []}, {'word_form': 'onaagaans', 'fst_analyses': ['onaagaans+NI+Sg', 'onaagan+NI+Dim+Sg']}, {'word_form': 'ezhi-biigosing', 'fst_analyses': ['PVRel/izhi+biigosin+VII+Pcp+Pos+Neu+0SgSubj+0SgHead']}, {'word_form': '.', 'fst_analyses': []}]"
Ogii'-agaashiinyi'aan gaa-gii'-ozhitamawaad odaminwaaganensan odaanisensan.,She  made the doll she made for her little daughter small.,"{'word_form': ""ogii'-agaashiinyi'aan"", 'fst_analyses': [""PVTense/gii'+agaashiinyi'+VTA+Ind+Pos+Neu+3SgProxSubj+3SgObvObj"", ""PVTense/gii'+agaashiinyi'+VTA+Ind+Pos+Neu+3SgProxSubj+3PlObvObj""]}","[{'word_form': ""ogii'-agaashiinyi'aan"", 'fst_analyses': [""PVTense/gii'+agaashiinyi'+VTA+Ind+Pos+Neu+3SgProxSubj+3SgObvObj"", ""PVTense/gii'+agaashiinyi'+VTA+Ind+Pos+Neu+3SgProxSubj+3PlObvObj""]}, {'word_form': ""gaa-gii'-ozhitamawaad"", 'fst_analyses': [""PVSub/gaa+PVTense/gii'+ozhitamaw+VTA+Cnj+Pos+Neu+3SgProxSubj+3SgObvObj"", ""PVSub/gaa+PVTense/gii'+ozhitamaw+VTA+Cnj+Pos+Neu+3SgProxSubj+3PlObvObj""]}, {'word_form': 'odaminwaaganensan', 'fst_analyses': []}, {'word_form': 'odaanisensan', 'fst_analyses': ['daanis+NAD+Dim+ObvSg+3SgProxPoss', 'daanis+NAD+Dim+ObvPl+3SgProxPoss']}, {'word_form': '.', 'fst_analyses': []}]"
Mishawaagonag odizhiweba'aan bikwaakwadoons.,He hit his (golf)ball right out on a field of snow,"{'word_form': 'bikwaakwadoons', 'fst_analyses': ['bikwaakwadoons+NI+Sg', 'bikwaakwad+NI+Dim+Sg']}","[{'word_form': 'mishawaagonag', 'fst_analyses': ['mishawaagonag+ADVLoc']}, {'word_form': ""odizhiweba'aan"", 'fst_analyses': [""izhiweba'an+VTI+Ind+Pos+Neu+3SgProxSubj+0SgObj""]}, {'word_form': 'bikwaakwadoons', 'fst_analyses': ['bikwaakwadoons+NI+Sg', 'bikwaakwad+NI+Dim+Sg']}, {'word_form': '.', 'fst_analyses': []}]"
Gijibidoon 'iw gimookomaanens.,Pull out your knife.,"{'word_form': 'gijibidoon', 'fst_analyses': ['gijibidoon+VTI+Imp+Sim+2SgSubj+0SgObj', 'gijibidoon+VTI+Imp+Sim+2SgSubj+0PlObj']}","[{'word_form': 'gijibidoon', 'fst_analyses': ['gijibidoon+VTI+Imp+Sim+2SgSubj+0SgObj', 'gijibidoon+VTI+Imp+Sim+2SgSubj+0PlObj']}, {'word_form': ""'iw"", 'fst_analyses': []}, {'word_form': 'gimookomaanens', 'fst_analyses': ['mookomaanens+NI+Sg+2SgPoss', 'mookomaan+NI+Dim+Sg+2SgPoss']}, {'word_form': '.', 'fst_analyses': []}]"
Ogii-saagijinizhikawaan iniw abinoonjiiyan neshiwanaadakamigizinid.,She chased the disorderly child outside.,"{'word_form': 'ogii-saagijinizhikawaan', 'fst_analyses': ['PVTense/gii+zaagijinizhikaw+VTA+Ind+Pos+Neu+3SgProxSubj+3SgObvObj', 'PVTense/gii+zaagijinizhikaw+VTA+Ind+Pos+Neu+3SgProxSubj+3PlObvObj']}","[{'word_form': 'ogii-saagijinizhikawaan', 'fst_analyses': ['PVTense/gii+zaagijinizhikaw+VTA+Ind+Pos+Neu+3SgProxSubj+3SgObvObj', 'PVTense/gii+zaagijinizhikaw+VTA+Ind+Pos+Neu+3SgProxSubj+3PlObvObj']}, {'word_form': 'iniw', 'fst_analyses': ['iniw+PRONDem']}, {'word_form': 'abinoonjiiyan', 'fst_analyses': []}, {'word_form': 'neshiwanaadakamigizinid', 'fst_analyses': []}, {'word_form': '.', 'fst_analyses': []}]"
Aabitoobii 'i mazhoominaaboo imaa omoodayaabikong.,That bottle is half full with wine.,"{'word_form': 'aabitoobii', 'fst_analyses': ['aabitoobii+VAI+Ind+Pos+Neu+3SgProxSubj', 'aabitoobii+VII+Ind+Pos+Neu+0SgSubj']}","[{'word_form': 'aabitoobii', 'fst_analyses': ['aabitoobii+VAI+Ind+Pos+Neu+3SgProxSubj', 'aabitoobii+VII+Ind+Pos+Neu+0SgSubj']}, {'word_form': ""'i"", 'fst_analyses': []}, {'word_form': 'mazhoominaaboo', 'fst_analyses': ['mazhoominaaboo+NI+Sg']}, {'word_form': 'imaa', 'fst_analyses': ['imaa+ADVLoc']}, {'word_form': 'omoodayaabikong', 'fst_analyses': ['omoodayaabik+NI+Loc']}, {'word_form': '.', 'fst_analyses': []}]"
Ingii-moona'waag mooseg gaa-ishkwaa-gimiwang.,I dug worms after it rained.,"{'word_form': ""ingii-moona'waag"", 'fst_analyses': [""PVTense/gii+moona'wi+VTA+Ind+Pos+Neu+1SgSubj+3PlProxObj"", ""PVTense/gii+moona'+VTA+Ind+Pos+Neu+1SgSubj+3PlProxObj""]}","[{'word_form': ""ingii-moona'waag"", 'fst_analyses': [""PVTense/gii+moona'wi+VTA+Ind+Pos+Neu+1SgSubj+3PlProxObj"", ""PVTense/gii+moona'+VTA+Ind+Pos+Neu+1SgSubj+3PlProxObj""]}, {'word_form': 'mooseg', 'fst_analyses': ['moose+NA+ProxPl']}, {'word_form': 'gaa-ishkwaa-gimiwang', 'fst_analyses': ['PVSub/gaa+PVLex/ishkwaa+gimiwan+VII+Cnj+Pos+Neu+0SgSubj', 'PVSub/gaa+PVLex/ishkwaa+gimiwan+VII+Cnj+Pos+Neu+0PlSubj', 'PVTense/gii+PVLex/ishkwaa+gimiwan+VII+Pcp+Pos+Neu+0SgSubj+0SgHead']}, {'word_form': '.', 'fst_analyses': []}]"
Iwidi neyaashiing gii-ondaasin owe jiimaan gaa-agwaayaasing.,The canoe that blew ashore came from the point,"{'word_form': 'gaa-agwaayaasing', 'fst_analyses': ['PVSub/gaa+agwaayaasin+VII+Cnj+Pos+Neu+0SgSubj', 'PVSub/gaa+agwaayaasin+VII+Cnj+Pos+Neu+0PlSubj', 'PVTense/gii+agwaayaasin+VII+Pcp+Pos+Neu+0SgSubj+0SgHead']}","[{'word_form': 'iwidi', 'fst_analyses': ['iwidi+ADVLoc']}, {'word_form': 'neyaashiing', 'fst_analyses': ['neyaashi+NI+Loc']}, {'word_form': 'gii-ondaasin', 'fst_analyses': ['PVTense/gii+ondaasin+VII+Ind+Pos+Neu+0SgSubj']}, {'word_form': 'owe', 'fst_analyses': ['owe+PRONDem']}, {'word_form': 'jiimaan', 'fst_analyses': ['jiimaan+NI+Sg']}, {'word_form': 'gaa-agwaayaasing', 'fst_analyses': ['PVSub/gaa+agwaayaasin+VII+Cnj+Pos+Neu+0SgSubj', 'PVSub/gaa+agwaayaasin+VII+Cnj+Pos+Neu+0PlSubj', 'PVTense/gii+agwaayaasin+VII+Pcp+Pos+Neu+0SgSubj+0SgHead']}, {'word_form': '.', 'fst_analyses': []}]"
Giiwedinong ondaasin gaa-onji-gisinaag.,Cold winds blow from the north.,"{'word_form': 'gaa-onji-gisinaag', 'fst_analyses': ['PVSub/gaa+PVRel/onji+gisinaa+VII+Cnj+Pos+Neu+0SgSubj', 'PVSub/gaa+PVRel/onji+gisinaa+VII+Cnj+Pos+Neu+0PlSubj', 'PVTense/gii+PVRel/onji+gisinaa+VII+Pcp+Pos+Neu+0SgSubj+0SgHead']}","[{'word_form': 'giiwedinong', 'fst_analyses': ['giiwedin+NI+Loc']}, {'word_form': 'ondaasin', 'fst_analyses': ['ondaasin+VII+Ind+Pos+Neu+0SgSubj']}, {'word_form': 'gaa-onji-gisinaag', 'fst_analyses': ['PVSub/gaa+PVRel/onji+gisinaa+VII+Cnj+Pos+Neu+0SgSubj', 'PVSub/gaa+PVRel/onji+gisinaa+VII+Cnj+Pos+Neu+0PlSubj', 'PVTense/gii+PVRel/onji+gisinaa+VII+Pcp+Pos+Neu+0SgSubj+0SgHead']}, {'word_form': '.', 'fst_analyses': []}]"
Obwaanawitoon ji-boozid naabikwaanensiwi-jiimaan; onzaam ishpoonagadini.,He isn't able to get aboard the motorboat because its sides are too high.,"{'word_form': 'ji-boozid', 'fst_analyses': ['PVTense/daa+boozi+VAI+Cnj+Pos+Neu+3SgProxSubj', 'PVTense/ga+boozi+VAI+Cnj+Pos+Neu+3SgProxSubj']}","[{'word_form': 'obwaanawitoon', 'fst_analyses': ['bwaanawitoon+VTI+Ind+Pos+Neu+3SgProxSubj+0SgObj']}, {'word_form': 'ji-boozid', 'fst_analyses': ['PVTense/daa+boozi+VAI+Cnj+Pos+Neu+3SgProxSubj', 'PVTense/ga+boozi+VAI+Cnj+Pos+Neu+3SgProxSubj']}, {'word_form': 'naabikwaanensiwi-jiimaan;', 'fst_analyses': []}, {'word_form': 'onzaam', 'fst_analyses': ['onzaam+ADVQnt']}, {'word_form': 'ishpoonagadini', 'fst_analyses': ['ishpoonagad+VII+Ind+Pos+Neu+0SgObvSubj']}, {'word_form': '.', 'fst_analyses': []}]"
Gojip a'awe name.,Taste that sturgeon.,"{'word_form': 'gojip', 'fst_analyses': ['gojipwi+VTA+Imp+Sim+2SgSubj+3SgProxObj', 'gojip+VTA+Imp+Sim+2SgSubj+3SgProxObj', 'gojipwi+VTA+Imp+Sim+2SgSubj+3PlProxObj', 'gojip+VTA+Imp+Sim+2SgSubj+3PlProxObj']}","[{'word_form': 'gojip', 'fst_analyses': ['gojipwi+VTA+Imp+Sim+2SgSubj+3SgProxObj', 'gojip+VTA+Imp+Sim+2SgSubj+3SgProxObj', 'gojipwi+VTA+Imp+Sim+2SgSubj+3PlProxObj', 'gojip+VTA+Imp+Sim+2SgSubj+3PlProxObj']}, {'word_form': ""a'awe"", 'fst_analyses': [""a'awe+PRONDem""]}, {'word_form': 'name', 'fst_analyses': ['name+NA+ProxSg']}, {'word_form': '.', 'fst_analyses': []}]"
Wiinad i'iw adoopowinaak. Mii na go ji-biinitooyamban?,That table is dirty. Can you clean it?,"{'word_form': 'ji-biinitooyamban', 'fst_analyses': ['PVTense/daa+biinitoon+VTI+Cnj+Pos+Prt+2SgSubj+0PlObj', 'PVTense/ga+biinitoon+VTI+Cnj+Pos+Prt+2SgSubj+0PlObj', 'PVTense/daa+biinitoon+VTI+Cnj+Pos+Prt+2SgSubj+0SgObj', 'PVTense/ga+biinitoon+VTI+Cnj+Pos+Prt+2SgSubj+0SgObj']}","[{'word_form': 'wiinad', 'fst_analyses': ['wiinad+VII+Ind+Pos+Neu+0SgSubj']}, {'word_form': ""i'iw"", 'fst_analyses': [""i'iw+PRONDem""]}, {'word_form': 'adoopowinaak', 'fst_analyses': ['adoopowinaak+NI+Sg']}, {'word_form': '.', 'fst_analyses': []}, {'word_form': 'mii', 'fst_analyses': ['mii+ADVPred']}, {'word_form': 'na', 'fst_analyses': ['na+PCDisc']}, {'word_form': 'go', 'fst_analyses': ['go+PCDisc']}, {'word_form': 'ji-biinitooyamban', 'fst_analyses': ['PVTense/daa+biinitoon+VTI+Cnj+Pos+Prt+2SgSubj+0PlObj', 'PVTense/ga+biinitoon+VTI+Cnj+Pos+Prt+2SgSubj+0PlObj', 'PVTense/daa+biinitoon+VTI+Cnj+Pos+Prt+2SgSubj+0SgObj', 'PVTense/ga+biinitoon+VTI+Cnj+Pos+Prt+2SgSubj+0SgObj']}, {'word_form': '?', 'fst_analyses': []}]"
Niibaa-dibik ingii-nooji'aag gichi-mooseg gii-mindookak.,I hunted for night crawlers late at night when there was dew.,"{'word_form': 'niibaa-dibik', 'fst_analyses': ['niibaa-dibik+ADVTmp', 'PVLex/niibaa+dibik+ADVTmp']}","[{'word_form': 'niibaa-dibik', 'fst_analyses': ['niibaa-dibik+ADVTmp', 'PVLex/niibaa+dibik+ADVTmp']}, {'word_form': ""ingii-nooji'aag"", 'fst_analyses': [""PVTense/gii+nooji'+VTA+Ind+Pos+Neu+1SgSubj+3PlProxObj""]}, {'word_form': 'gichi-mooseg', 'fst_analyses': ['PNLex/gichi+moose+NA+ProxPl', 'PNLex/chi+moose+NA+ProxPl+2SgPoss']}, {'word_form': 'gii-mindookak', 'fst_analyses': ['PVTense/gii+mindookad+VII+Cnj+Pos+Neu+0SgSubj', 'PVTense/gii+mindookad+VII+Cnj+Pos+Neu+0PlSubj']}, {'word_form': '.', 'fst_analyses': []}]"
Bakaan gaye wiin odina'aan iwe nagamon gaa-noondang.,He sings that song different from the way he heard it.,"{'word_form': 'wiin', 'fst_analyses': ['iiw+NAD+ObvPl+3SgProxPoss', 'iiw+NAD+ObvSg+3SgProxPoss', 'wiin+PRONPer', 'wiin+PCDisc']}","[{'word_form': 'bakaan', 'fst_analyses': ['bakaan+ADVMan']}, {'word_form': 'gaye', 'fst_analyses': ['gaye+ADVConj']}, {'word_form': 'wiin', 'fst_analyses': ['iiw+NAD+ObvPl+3SgProxPoss', 'iiw+NAD+ObvSg+3SgProxPoss', 'wiin+PRONPer', 'wiin+PCDisc']}, {'word_form': ""odina'aan"", 'fst_analyses': [""ina'an+VTI+Ind+Pos+Neu+3SgProxSubj+0SgObj""]}, {'word_form': 'iwe', 'fst_analyses': []}, {'word_form': 'nagamon', 'fst_analyses': ['nagamo+VAI+Imp+Sim+2SgSubj', 'nagamon+NI+Sg']}, {'word_form': 'gaa-noondang', 'fst_analyses': ['PVSub/gaa+noondam+VAI+Cnj+Pos+Neu+3SgProxSubj', 'PVSub/gaa+noondan+VTI+Cnj+Pos+Neu+3SgProxSubj+0SgObj', 'PVSub/gaa+noondan+VTI+Cnj+Pos+Neu+3SgProxSubj+0PlObj', 'PVTense/gii+noondam+VAI+Pcp+Pos+Neu+3SgProxSubj+3SgProxHead', 'PVTense/gii+noondam+VAI+Pcp+Pos+Neu+3PlProxSubj+3PlProxHead']}, {'word_form': '.', 'fst_analyses': []}]"
Dakoosin nagamon.,It is a short song.,"{'word_form': 'nagamon', 'fst_analyses': ['nagamo+VAI+Imp+Sim+2SgSubj', 'nagamon+NI+Sg']}","[{'word_form': 'dakoosin', 'fst_analyses': []}, {'word_form': 'nagamon', 'fst_analyses': ['nagamo+VAI+Imp+Sim+2SgSubj', 'nagamon+NI+Sg']}, {'word_form': '.', 'fst_analyses': []}]"
Wiineta go wiin ogii-ozhitoon 'iw nagamon.,He composed that song by himself.,"{'word_form': 'wiin', 'fst_analyses': ['iiw+NAD+ObvPl+3SgProxPoss', 'iiw+NAD+ObvSg+3SgProxPoss', 'wiin+PRONPer', 'wiin+PCDisc']}","[{'word_form': 'wiineta', 'fst_analyses': ['wiineta+PRONPer']}, {'word_form': 'go', 'fst_analyses': ['go+PCDisc']}, {'word_form': 'wiin', 'fst_analyses': ['iiw+NAD+ObvPl+3SgProxPoss', 'iiw+NAD+ObvSg+3SgProxPoss', 'wiin+PRONPer', 'wiin+PCDisc']}, {'word_form': 'ogii-ozhitoon', 'fst_analyses': ['PVTense/gii+ozhitoon+VTI+Ind+Pos+Neu+3SgProxSubj+0SgObj']}, {'word_form': ""'iw"", 'fst_analyses': []}, {'word_form': 'nagamon', 'fst_analyses': ['nagamo+VAI+Imp+Sim+2SgSubj', 'nagamon+NI+Sg']}, {'word_form': '.', 'fst_analyses': []}]"
Niibowa gii-izhise gii-nanaa'itood ojiimaan.,It cost him a lot to fix his boat.,"{'word_form': 'gii-izhise', 'fst_analyses': ['PVTense/gii+izhise+VAI+Ind+Pos+Neu+3SgProxSubj', 'PVTense/gii+izhise+VII+Ind+Pos+Neu+0SgSubj']}","[{'word_form': 'niibowa', 'fst_analyses': ['niibowa+ADVQnt']}, {'word_form': 'gii-izhise', 'fst_analyses': ['PVTense/gii+izhise+VAI+Ind+Pos+Neu+3SgProxSubj', 'PVTense/gii+izhise+VII+Ind+Pos+Neu+0SgSubj']}, {'word_form': ""gii-nanaa'itood"", 'fst_analyses': [""PVTense/gii+nanaa'itoon+VTI+Cnj+Pos+Neu+3SgProxSubj+0SgObj"", ""PVTense/gii+nanaa'itoon+VTI+Cnj+Pos+Neu+3SgProxSubj+0PlObj""]}, {'word_form': 'ojiimaan', 'fst_analyses': ['jiimaan+NI+Sg+3SgProxPoss']}, {'word_form': '.', 'fst_analyses': []}]"
Niwii-nanaa'itoon indoodaabaanens.,I want to fix my little car.,"{'word_form': 'indoodaabaanens', 'fst_analyses': ['odaabaan+NA+Dim+ProxSg+1SgPoss', 'odaabaan+NI+Dim+Sg+1SgPoss']}","[{'word_form': ""niwii-nanaa'itoon"", 'fst_analyses': [""PVTense/wii+nanaa'itoon+VTI+Ind+Pos+Neu+1SgSubj+0SgObj""]}, {'word_form': 'indoodaabaanens', 'fst_analyses': ['odaabaan+NA+Dim+ProxSg+1SgPoss', 'odaabaan+NI+Dim+Sg+1SgPoss']}, {'word_form': '.', 'fst_analyses': []}]"
Nimisawendaan ji-bi-nanaa'itooyamban iwe indesa'on,I wish you would come and fix my platform.,"{'word_form': ""ji-bi-nanaa'itooyamban"", 'fst_analyses': [""PVTense/daa+PVDir/bi+nanaa'itoon+VTI+Cnj+Pos+Prt+2SgSubj+0PlObj"", ""PVTense/ga+PVDir/bi+nanaa'itoon+VTI+Cnj+Pos+Prt+2SgSubj+0PlObj"", ""PVTense/daa+PVDir/bi+nanaa'itoon+VTI+Cnj+Pos+Prt+2SgSubj+0SgObj"", ""PVTense/ga+PVDir/bi+nanaa'itoon+VTI+Cnj+Pos+Prt+2SgSubj+0SgObj""]}","[{'word_form': 'nimisawendaan', 'fst_analyses': ['misawendan+VTI+Ind+Pos+Neu+1SgSubj+0SgObj']}, {'word_form': ""ji-bi-nanaa'itooyamban"", 'fst_analyses': [""PVTense/daa+PVDir/bi+nanaa'itoon+VTI+Cnj+Pos+Prt+2SgSubj+0PlObj"", ""PVTense/ga+PVDir/bi+nanaa'itoon+VTI+Cnj+Pos+Prt+2SgSubj+0PlObj"", ""PVTense/daa+PVDir/bi+nanaa'itoon+VTI+Cnj+Pos+Prt+2SgSubj+0SgObj"", ""PVTense/ga+PVDir/bi+nanaa'itoon+VTI+Cnj+Pos+Prt+2SgSubj+0SgObj""]}, {'word_form': 'iwe', 'fst_analyses': []}, {'word_form': ""indesa'on"", 'fst_analyses': [""desa'on+NI+Sg+1SgPoss""]}]"
Gii-aabitooseg ingii-onakidoon 'i bakijiiga'igan.,On Wednesday I set up the tent.,"{'word_form': 'gii-aabitooseg', 'fst_analyses': ['PVTense/gii+aabitoose+VII+Cnj+Pos+Neu+0SgSubj', 'PVTense/gii+aabitoose+VII+Cnj+Pos+Neu+0PlSubj']}","[{'word_form': 'gii-aabitooseg', 'fst_analyses': ['PVTense/gii+aabitoose+VII+Cnj+Pos+Neu+0SgSubj', 'PVTense/gii+aabitoose+VII+Cnj+Pos+Neu+0PlSubj']}, {'word_form': 'ingii-onakidoon', 'fst_analyses': ['PVTense/gii+onakidoon+VTI+Ind+Pos+Neu+1SgSubj+0SgObj']}, {'word_form': ""'i"", 'fst_analyses': []}, {'word_form': ""bakijiiga'igan"", 'fst_analyses': []}, {'word_form': '.', 'fst_analyses': []}]"
Mii iwe wayeshkad gaa-izhichigewaad mewinzha gii-... gii-onakidoowaad waaginogaan.,Long ago this is what they did first when they erected the bark hut.,"{'word_form': 'gii-onakidoowaad', 'fst_analyses': ['PVTense/gii+onakidoon+VTI+Cnj+Pos+Neu+3PlProxSubj+0PlObj', 'PVTense/gii+onakidoon+VTI+Cnj+Pos+Neu+3PlProxSubj+0SgObj']}","[{'word_form': 'mii', 'fst_analyses': ['mii+ADVPred']}, {'word_form': 'iwe', 'fst_analyses': []}, {'word_form': 'wayeshkad', 'fst_analyses': ['wayeshkad+ADVTmp']}, {'word_form': 'gaa-izhichigewaad', 'fst_analyses': ['PVSub/gaa+izhichige+VAI+Cnj+Pos+Neu+3PlProxSubj']}, {'word_form': 'mewinzha', 'fst_analyses': ['mewinzha+ADVTmp']}, {'word_form': 'gii-..', 'fst_analyses': []}, {'word_form': '.', 'fst_analyses': []}, {'word_form': 'gii-onakidoowaad', 'fst_analyses': ['PVTense/gii+onakidoon+VTI+Cnj+Pos+Neu+3PlProxSubj+0PlObj', 'PVTense/gii+onakidoon+VTI+Cnj+Pos+Neu+3PlProxSubj+0SgObj']}, {'word_form': 'waaginogaan', 'fst_analyses': ['waaginogaan+NI+Sg']}, {'word_form': '.', 'fst_analyses': []}]"
Gii-kibaakwaji awe atoobaan gaa-onji-onzekwed aw akik indoodaabaaning.,The radiator froze and that's why the engine in my car overheated.,"{'word_form': 'atoobaan', 'fst_analyses': ['atoobaan+NA+ProxSg', 'atoobaan+NI+Sg']}","[{'word_form': 'gii-kibaakwaji', 'fst_analyses': ['PVTense/gii+gibaakwaji+VAI+Ind+Pos+Neu+3SgProxSubj']}, {'word_form': 'awe', 'fst_analyses': []}, {'word_form': 'atoobaan', 'fst_analyses': ['atoobaan+NA+ProxSg', 'atoobaan+NI+Sg']}, {'word_form': 'gaa-onji-onzekwed', 'fst_analyses': ['PVSub/gaa+PVRel/onji+onzekwe+VAI+Cnj+Pos+Neu+3SgProxSubj', 'PVTense/gii+PVRel/onji+onzekwe+VAI+Pcp+Pos+Neu+3SgProxSubj+3SgProxHead']}, {'word_form': 'aw', 'fst_analyses': ['aw+PRONDem']}, {'word_form': 'akik', 'fst_analyses': ['akik+NA+ProxSg']}, {'word_form': 'indoodaabaaning', 'fst_analyses': ['odaabaan+NA+Loc+1SgPoss', 'odaabaan+NI+Loc+1SgPoss']}, {'word_form': '.', 'fst_analyses': []}]"
Jiikaagamin iwe aniibiish. Weweni ogii-minwaagamitoon.,The tea was real good. He brewed it really well.,"{'word_form': 'aniibiish', 'fst_analyses': ['aniib+NA+Pej+ProxSg', 'aniibiish+NI+Sg']}","[{'word_form': 'jiikaagamin', 'fst_analyses': ['jiikaagamin+VII+Ind+Pos+Neu+0SgSubj']}, {'word_form': 'iwe', 'fst_analyses': []}, {'word_form': 'aniibiish', 'fst_analyses': ['aniib+NA+Pej+ProxSg', 'aniibiish+NI+Sg']}, {'word_form': '.', 'fst_analyses': []}, {'word_form': 'weweni', 'fst_analyses': ['weweni+ADVMan']}, {'word_form': 'ogii-minwaagamitoon', 'fst_analyses': ['PVTense/gii+minwaagamitoon+VTI+Ind+Pos+Neu+3SgProxSubj+0SgObj']}, {'word_form': '.', 'fst_analyses': []}]"
Gizhaabasan gitigaanensan wii'-miijiyan.,Steam your veggies to eat them.,"{'word_form': 'gizhaabasan', 'fst_analyses': ['gizhaabasan+VTI+Imp+Sim+2SgSubj+0SgObj', 'gizhaabasan+VTI+Imp+Sim+2SgSubj+0PlObj']}","[{'word_form': 'gizhaabasan', 'fst_analyses': ['gizhaabasan+VTI+Imp+Sim+2SgSubj+0SgObj', 'gizhaabasan+VTI+Imp+Sim+2SgSubj+0PlObj']}, {'word_form': 'gitigaanensan', 'fst_analyses': ['gitigaan+NI+Dim+Pl', 'gitigaanens+NI+Pl']}, {'word_form': ""wii'-miijiyan"", 'fst_analyses': [""PVTense/wii'+miijin+VTI+Cnj+Pos+Neu+2SgSubj+0SgObj"", ""PVTense/wii'+miijin+VTI+Cnj+Pos+Neu+2SgSubj+0PlObj""]}, {'word_form': '.', 'fst_analyses': []}]"
Ezhi-gizii'waad iniwen owiiniskiigomaanan a'aw gwiiwizens.,The boy wiped the snot off his nose.,"{'word_form': 'owiiniskiigomaanan', 'fst_analyses': ['wiiniskiigomaan+NA+ObvPl+3SgProxPoss', 'wiiniskiigomaan+NA+ObvSg+3SgProxPoss']}","[{'word_form': ""ezhi-gizii'waad"", 'fst_analyses': []}, {'word_form': 'iniwen', 'fst_analyses': ['iniwen+PRONDem']}, {'word_form': 'owiiniskiigomaanan', 'fst_analyses': ['wiiniskiigomaan+NA+ObvPl+3SgProxPoss', 'wiiniskiigomaan+NA+ObvSg+3SgProxPoss']}, {'word_form': ""a'aw"", 'fst_analyses': [""a'aw+PRONDem""]}, {'word_form': 'gwiiwizens', 'fst_analyses': ['gwiiwizens+NA+ProxSg']}, {'word_form': '.', 'fst_analyses': []}]"
