ojibwe,english,fst_readings,speaker
Ogii-wiindaan i'iwe oodena.,He named that town.,"[{'word_form': 'ogii-wiindaan', 'fst_analyses': ['PVTense/gii+wiindan+VTI+Ind+Pos+Neu+3SgProxSubj+0SgObj']}, {'word_form': ""i'iwe"", 'fst_analyses': [""i'iwe+PRONDem+NI+Sg""]}, {'word_form': 'oodena', 'fst_analyses': ['oodena+NI+Sg']}, {'word_form': '.', 'fst_analyses': []}]",rg
Agwanaatesidoon gimawinzwaanan jibwaa-baashkijiidegin.,Put your blueberries in the shade before they burst open from the sun.,"[{'word_form': 'agwanaatesidoon', 'fst_analyses': ['agwanaatesidoon+VTI+Imp+Sim+2SgSubj+0PlObj', 'agwanaatesidoon+VTI+Imp+Sim+2SgSubj+0SgObj']}, {'word_form': 'gimawinzwaanan', 'fst_analyses': ['mawinzwaan+NI+Pl+2SgPoss']}, {'word_form': 'jibwaa-baashkijiidegin', 'fst_analyses': ['PVTense/jibwaa+baashkijiide+VII+Cnj+Pos+Neu+0PlSubj']}, {'word_form': '.', 'fst_analyses': []}]",nj
Awenen awe gaa-oshibii'amawad.,Who are you writing (the letter) to?,"[{'word_form': 'awenen', 'fst_analyses': ['awenen+PRONInter+NA+ProxSg']}, {'word_form': 'awe', 'fst_analyses': ['awe+PRONDem+NA+ProxSg']}, {'word_form': ""gaa-oshibii'amawad"", 'fst_analyses': []}, {'word_form': '.', 'fst_analyses': []}]",nj
Binaabigwaniiyaashiwag gozigwaakominag.,The juneberries' flowers are blown down.,"[{'word_form': 'binaabigwaniiyaashiwag', 'fst_analyses': ['binaabigwaniiyaashi+VAI+Ind+Pos+Neu+3PlProxSubj']}, {'word_form': 'gozigwaakominag', 'fst_analyses': ['gozigwaakomin+NA+ProxPl']}, {'word_form': '.', 'fst_analyses': []}]",nj
Ogii-akwaandawenizhikawaan imaa mitigong iniw gaazhagensan 'aw animoshish.,That ol' dog chased that cat up a tree.,"[{'word_form': 'ogii-akwaandawenizhikawaan', 'fst_analyses': ['PVTense/gii+akwaandawenizhikaw+VTA+Ind+Pos+Neu+3SgProxSubj+3SgObvObj', 'PVTense/gii+akwaandawenizhikaw+VTA+Ind+Pos+Neu+3SgProxSubj+3PlObvObj']}, {'word_form': 'imaa', 'fst_analyses': ['imaa+ADVLoc']}, {'word_form': 'mitigong', 'fst_analyses': ['mitig+NA+Loc', 'mitig+NI+Loc']}, {'word_form': 'iniw', 'fst_analyses': ['iniw+PRONDem+NI+Pl', 'iniw+PRONDem+NA+ObvSg', 'iniw+PRONDem+NA+ObvPl']}, {'word_form': 'gaazhagensan', 'fst_analyses': ['gaazhagens+NA+ObvPl', 'gaazhagens+NA+ObvSg']}, {'word_form': 'aw', 'fst_analyses': ['aw+PRONDem+NA+ProxSg']}, {'word_form': 'animoshish', 'fst_analyses': ['animosh+NA+Pej+ProxSg']}, {'word_form': '.', 'fst_analyses': []}]",es
Onibe'aan iniw abinoojiiyensan imaa wewebizoning.,She put the child to sleep in the cradle swing.,"[{'word_form': ""onibe'aan"", 'fst_analyses': [""nibe'+VTA+Ind+Pos+Neu+3SgProxSubj+3SgObvObj"", ""nibe'+VTA+Ind+Pos+Neu+3SgProxSubj+3PlObvObj""]}, {'word_form': 'iniw', 'fst_analyses': ['iniw+PRONDem+NI+Pl', 'iniw+PRONDem+NA+ObvSg', 'iniw+PRONDem+NA+ObvPl']}, {'word_form': 'abinoojiiyensan', 'fst_analyses': []}, {'word_form': 'imaa', 'fst_analyses': ['imaa+ADVLoc']}, {'word_form': 'wewebizoning', 'fst_analyses': ['wewebizon+NI+Loc']}, {'word_form': '.', 'fst_analyses': []}]",es
Ogii-takobinaan oniijaanisensan wii'-nibe'aad.,She bundled her baby up to put him to sleep.,"[{'word_form': 'ogii-takobinaan', 'fst_analyses': ['PVTense/gii+dakobizh+VTA+Ind+Pos+Neu+3SgProxSubj+3SgObvObj', 'PVTense/gii+dakobizh+VTA+Ind+Pos+Neu+3SgProxSubj+3PlObvObj']}, {'word_form': 'oniijaanisensan', 'fst_analyses': ['niijaanis+NAD+Dim+ObvSg+3SgProxPoss', 'niijaanis+NAD+Dim+ObvPl+3SgProxPoss']}, {'word_form': ""wii'-nibe'aad"", 'fst_analyses': [""PVTense/wii'+nibe'+VTA+Cnj+Pos+Neu+3SgProxSubj+3SgObvObj"", ""PVTense/wii'+nibe'+VTA+Cnj+Pos+Neu+3SgProxSubj+3PlObvObj""]}, {'word_form': '.', 'fst_analyses': []}]",nj
Ambesanoo ayaangwaamizin.,Please be careful.,"[{'word_form': 'ambesanoo', 'fst_analyses': ['ambesanoo+PCInterj']}, {'word_form': 'ayaangwaamizin', 'fst_analyses': ['ayaangwaamizi+VAI+Imp+Sim+2SgSubj']}, {'word_form': '.', 'fst_analyses': []}]",gh
Gego baashkizangen gegoo gaa-mamaajiimagak. Akawe weweni ando-gikendan jibwaa-baashkizaman.,Don't just shoot at anything that moves. Make sure you find out what it is before you fire at it.,"[{'word_form': 'gego', 'fst_analyses': ['gego+ADVNeg']}, {'word_form': 'baashkizangen', 'fst_analyses': ['baashkizan+VTI+Imp+Prb+2SgSubj+0PlObj', 'baashkizan+VTI+Imp+Prb+2SgSubj+0SgObj']}, {'word_form': 'gegoo', 'fst_analyses': ['gegoo+PRONIndf+NI']}, {'word_form': 'gaa-mamaajiimagak', 'fst_analyses': ['PVSub/gaa+mamaajii+VAI+Der/magad+VII+Cnj+Pos+Neu+0SgSubj', 'PVSub/gaa+mamaajiimagad+VII+Cnj+Pos+Neu+0SgSubj', 'PVSub/gaa+mamaajii+VAI+Der/magad+VII+Cnj+Pos+Neu+0PlSubj', 'PVSub/gaa+mamaajiimagad+VII+Cnj+Pos+Neu+0PlSubj', 'PVTense/gii+mamaajii+VAI+Der/magad+VII+Pcp+Pos+Neu+0SgSubj+0SgHead', 'PVTense/gii+mamaajiimagad+VII+Pcp+Pos+Neu+0SgSubj+0SgHead']}, {'word_form': '.', 'fst_analyses': []}, {'word_form': 'akawe', 'fst_analyses': ['akawe+ADVTmp']}, {'word_form': 'weweni', 'fst_analyses': ['weweni+ADVMan']}, {'word_form': 'ando-gikendan', 'fst_analyses': ['PVLex/ando+gikendam+VAI+Imp+Sim+2SgSubj', 'PVLex/ando+gikendan+VTI+Imp+Sim+2SgSubj+0PlObj', 'PVLex/ando+gikendan+VTI+Imp+Sim+2SgSubj+0SgObj']}, {'word_form': 'jibwaa-baashkizaman', 'fst_analyses': ['PVTense/jibwaa+baashkizan+VTI+Cnj+Pos+Neu+2SgSubj+0PlObj', 'PVTense/jibwaa+baashkizan+VTI+Cnj+Pos+Neu+2SgSubj+0SgObj']}, {'word_form': '.', 'fst_analyses': []}]",nj
Mii 'i gii-kabeshkang iwe naano-diba'igan gaa-inind ji-izhaad.,He completed the five-mile course he was told to do.,"[{'word_form': 'mii', 'fst_analyses': ['mii+ADVPred']}, {'word_form': 'i', 'fst_analyses': []}, {'word_form': 'gii-kabeshkang', 'fst_analyses': ['PVTense/gii+gabeshkan+VTI+Cnj+Pos+Neu+3SgProxSubj+0PlObj', 'PVTense/gii+gabeshkan+VTI+Cnj+Pos+Neu+3SgProxSubj+0SgObj']}, {'word_form': 'iwe', 'fst_analyses': ['iwe+PRONDem+NI+Sg']}, {'word_form': ""naano-diba'igan"", 'fst_analyses': [""naano-diba'igan+NUM""]}, {'word_form': 'gaa-inind', 'fst_analyses': ['PVSub/gaa+izhi+VTA+Cnj+Pos+Neu+XSubj+3SgProxObj']}, {'word_form': 'ji-izhaad', 'fst_analyses': ['PVTense/daa+izhaa+VAI+Cnj+Pos+Neu+3SgProxSubj', 'PVTense/ga+izhaa+VAI+Cnj+Pos+Neu+3SgProxSubj']}, {'word_form': '.', 'fst_analyses': []}]",es
Bagama'amaazo. Ganabaj gii'-niiwezhiwewag gaa-bikwaakwadoonsikewaad.,He came in singing. Maybe the baseball players won the game.,"[{'word_form': ""bagama'amaazo"", 'fst_analyses': [""bagama'amaazo+VAI+Ind+Pos+Neu+3SgProxSubj""]}, {'word_form': '.', 'fst_analyses': []}, {'word_form': 'ganabaj', 'fst_analyses': ['ganabaj+ADVMan']}, {'word_form': ""gii'-niiwezhiwewag"", 'fst_analyses': [""PVTense/gii'+niiwezhiwe+VAI+Ind+Pos+Neu+3PlProxSubj""]}, {'word_form': 'gaa-bikwaakwadoonsikewaad', 'fst_analyses': ['PVSub/gaa+bikwaakwadoonsike+VAI+Cnj+Pos+Neu+3PlProxSubj']}, {'word_form': '.', 'fst_analyses': []}]",nj
Gii-ozisin zhigwa iwe ge-izhichigeng o'owe dibaakonigewin.,Policy has been set for us to follow in the government.,"[{'word_form': 'gii-ozisin', 'fst_analyses': ['PVTense/gii+ozisin+VII+Ind+Pos+Neu+0SgSubj']}, {'word_form': 'zhigwa', 'fst_analyses': ['zhigwa+ADVTmp']}, {'word_form': 'iwe', 'fst_analyses': ['iwe+PRONDem+NI+Sg']}, {'word_form': 'ge-izhichigeng', 'fst_analyses': []}, {'word_form': ""o'owe"", 'fst_analyses': [""o'owe+PRONDem+NI+Sg""]}, {'word_form': 'dibaakonigewin', 'fst_analyses': []}, {'word_form': '.', 'fst_analyses': []}]",es
Aabitoobii 'i mazhoominaaboo imaa omoodayaabikong.,That bottle is half full with wine.,"[{'word_form': 'aabitoobii', 'fst_analyses': ['aabitoobii+VAI+Ind+Pos+Neu+3SgProxSubj', 'aabitoobii+VII+Ind+Pos+Neu+0SgSubj']}, {'word_form': 'i', 'fst_analyses': []}, {'word_form': 'mazhoominaaboo', 'fst_analyses': ['mazhoominaaboo+NI+Sg']}, {'word_form': 'imaa', 'fst_analyses': ['imaa+ADVLoc']}, {'word_form': 'omoodayaabikong', 'fst_analyses': ['omoodayaabik+NI+Loc']}, {'word_form': '.', 'fst_analyses': []}]",es
Gegaa ingii-bichi-nisidawinawaa awe ikwe. Bakaanizi ingwana.,I almost mistook that woman for someone else. It turns it was somebody different.,"[{'word_form': 'gegaa', 'fst_analyses': ['gegaa+ADVDeg']}, {'word_form': 'ingii-bichi-nisidawinawaa', 'fst_analyses': ['PVTense/gii+PVLex/bichi+nisidawinaw+VTA+Ind+Pos+Neu+1SgSubj+3SgProxObj']}, {'word_form': 'awe', 'fst_analyses': ['awe+PRONDem+NA+ProxSg']}, {'word_form': 'ikwe', 'fst_analyses': ['ikwe+NA+ProxSg']}, {'word_form': '.', 'fst_analyses': []}, {'word_form': 'bakaanizi', 'fst_analyses': ['bakaanizi+VAI+Ind+Pos+Neu+3SgProxSubj']}, {'word_form': 'ingwana', 'fst_analyses': ['ingwana+PCDisc']}, {'word_form': '.', 'fst_analyses': []}]",es
Dennis miinawaa ingoji ondamaajimodog gaa-onji-bezikaad.,Dennis was probably busy telling stories again somewhere. That's why he's late.,"[{'word_form': 'dennis', 'fst_analyses': []}, {'word_form': 'miinawaa', 'fst_analyses': ['miinawaa+ADVConj']}, {'word_form': 'ingoji', 'fst_analyses': ['ingoji+ADVDeg']}, {'word_form': 'ondamaajimodog', 'fst_analyses': ['ondamaajimo+VAI+Ind+Pos+Dub+3SgProxSubj']}, {'word_form': 'gaa-onji-bezikaad', 'fst_analyses': ['PVSub/gaa+PVRel/onji+bezikaa+VAI+Cnj+Pos+Neu+3SgProxSubj', 'PVTense/gii+PVRel/onji+bezikaa+VAI+Pcp+Pos+Neu+3SgProxSubj+3SgProxHead']}, {'word_form': '.', 'fst_analyses': []}]",nj
Onagajitoonaawaa gabedibikwewaad igiweg weshki-bimaadiziwaad.,Those young people are used to staying up all night.,"[{'word_form': 'onagajitoonaawaa', 'fst_analyses': ['nagajitoon+VTI+Ind+Pos+Neu+3PlProxSubj+0SgObj']}, {'word_form': 'gabedibikwewaad', 'fst_analyses': ['gabedibikwe+VAI+Cnj+Pos+Neu+3PlProxSubj']}, {'word_form': 'igiweg', 'fst_analyses': ['igiweg+PRONDem+NA+ProxPl']}, {'word_form': 'weshki-bimaadiziwaad', 'fst_analyses': []}, {'word_form': '.', 'fst_analyses': []}]",es
Nimaamakaadendaan niibowa gii-pinda'amowaad igiweg wiimbijiinyag.,I'm amazed that we caught a lot of goldeyes in the net.,"[{'word_form': 'nimaamakaadendaan', 'fst_analyses': ['maamakaadendan+VTI+Ind+Pos+Neu+1SgSubj+0SgObj']}, {'word_form': 'niibowa', 'fst_analyses': ['niibowa+ADVQnt']}, {'word_form': ""gii-pinda'amowaad"", 'fst_analyses': [""PVTense/gii+binda'am+VAI+Cnj+Pos+Neu+3PlProxSubj""]}, {'word_form': 'igiweg', 'fst_analyses': ['igiweg+PRONDem+NA+ProxPl']}, {'word_form': 'wiimbijiinyag', 'fst_analyses': []}, {'word_form': '.', 'fst_analyses': []}]",es
Aandi endazhigaabawid.,Where is he standing at?,"[{'word_form': 'aandi', 'fst_analyses': ['aandi+ADVInter']}, {'word_form': 'endazhigaabawid', 'fst_analyses': ['dazhigaabawi+VAI+Pcp+Pos+Neu+3SgProxSubj+3SgProxHead']}, {'word_form': '.', 'fst_analyses': []}]",es
Mii 'i gii-ni-maajidaabiid awe aawajidaabaadang ini misan.,The one hauling the wood on the sled started pulling it.,"[{'word_form': 'mii', 'fst_analyses': ['mii+ADVPred']}, {'word_form': 'i', 'fst_analyses': []}, {'word_form': 'gii-ni-maajidaabiid', 'fst_analyses': ['PVTense/gii+PVDir/ni+maajidaabii+VAI+Cnj+Pos+Neu+3SgProxSubj']}, {'word_form': 'awe', 'fst_analyses': ['awe+PRONDem+NA+ProxSg']}, {'word_form': 'aawajidaabaadang', 'fst_analyses': ['aawajidaabaadan+VTI+Cnj+Pos+Neu+3SgProxSubj+0PlObj', 'aawajidaabaadan+VTI+Cnj+Pos+Neu+3SgProxSubj+0SgObj']}, {'word_form': 'ini', 'fst_analyses': ['ini+PRONDem+NI+Pl', 'ini+PRONDem+NA+ObvSg', 'ini+PRONDem+NA+ObvPl']}, {'word_form': 'misan', 'fst_analyses': ['mishi+NI+Pl']}, {'word_form': '.', 'fst_analyses': []}]",es
Indaga opimewebishkaw a'aw akik.,Please kick the pail on its side.,"[{'word_form': 'indaga', 'fst_analyses': ['indaga+PCDisc']}, {'word_form': 'opimewebishkaw', 'fst_analyses': ['opimewebishkaw+VTA+Imp+Sim+2SgSubj+3SgProxObj', 'opimewebishkaw+VTA+Imp+Sim+2SgSubj+3PlProxObj']}, {'word_form': ""a'aw"", 'fst_analyses': [""a'aw+PRONDem+NA+ProxSg""]}, {'word_form': 'akik', 'fst_analyses': ['akik+NA+ProxSg']}, {'word_form': '.', 'fst_analyses': []}]",es
Maamaagojiibidoon gigiishkiboojigan ji-maajiibideg.,Prime your saw so it will start.,"[{'word_form': 'maamaagojiibidoon', 'fst_analyses': ['maamaagojiibidoon+VTI+Imp+Sim+2SgSubj+0PlObj', 'maamaagojiibidoon+VTI+Imp+Sim+2SgSubj+0SgObj']}, {'word_form': 'gigiishkiboojigan', 'fst_analyses': ['giishkiboojigan+NI+Sg+2SgPoss']}, {'word_form': 'ji-maajiibideg', 'fst_analyses': ['PVTense/daa+maajiibide+VII+Cnj+Pos+Neu+0SgSubj', 'PVTense/ga+maajiibide+VII+Cnj+Pos+Neu+0SgSubj', 'PVTense/daa+maajiibide+VII+Cnj+Pos+Neu+0PlSubj', 'PVTense/ga+maajiibide+VII+Cnj+Pos+Neu+0PlSubj']}, {'word_form': '.', 'fst_analyses': []}]",nj
Gii-minwendam gii-pi-ganoonind ji-o-gaagiigidod iwidi endazhi-zagaswe'iding.,He was happy that they called on him to go speak at the council meeting.,"[{'word_form': 'gii-minwendam', 'fst_analyses': ['PVTense/gii+minwendam+VAI+Ind+Pos+Neu+3SgProxSubj']}, {'word_form': 'gii-pi-ganoonind', 'fst_analyses': ['PVTense/gii+PVDir/bi+ganoozh+VTA+Cnj+Pos+Neu+XSubj+3SgProxObj']}, {'word_form': 'ji-o-gaagiigidod', 'fst_analyses': ['PVTense/daa+PVDir/o+gaagiigido+VAI+Cnj+Pos+Neu+3SgProxSubj', 'PVTense/ga+PVDir/o+gaagiigido+VAI+Cnj+Pos+Neu+3SgProxSubj']}, {'word_form': 'iwidi', 'fst_analyses': ['iwidi+ADVLoc']}, {'word_form': ""endazhi-zagaswe'iding"", 'fst_analyses': []}, {'word_form': '.', 'fst_analyses': []}]",es
Gidaana-wii-kanoonin miinawaa. Gaawiin anokiimagasinoon ningiigidoo-biiwaabikoons. Ganabaj gii-kidiskaabiiginigaade.,I was going to call you again. My phone isn't working. I think it's disconnected.,"[{'word_form': 'gidaana-wii-kanoonin', 'fst_analyses': ['PVTense/aana+PVTense/wii+ganoozh+VTA+Ind+Pos+Neu+1SgSubj+2SgObj']}, {'word_form': 'miinawaa', 'fst_analyses': ['miinawaa+ADVConj']}, {'word_form': '.', 'fst_analyses': []}, {'word_form': 'gaawiin', 'fst_analyses': ['gaawiin+ADVNeg']}, {'word_form': 'anokiimagasinoon', 'fst_analyses': ['anokii+VAI+Der/magad+VII+Ind+Neg+Neu+0PlSubj', 'anokii+VAI+Der/magad+VII+Ind+Neg+Neu+0SgSubj']}, {'word_form': 'ningiigidoo-biiwaabikoons', 'fst_analyses': ['giigidoo-biiwaabikoons+NI+Sg+1SgPoss']}, {'word_form': '.', 'fst_analyses': []}, {'word_form': 'ganabaj', 'fst_analyses': ['ganabaj+ADVMan']}, {'word_form': 'gii-kidiskaabiiginigaade', 'fst_analyses': ['PVTense/gii+gidiskaabiiginigaade+VII+Ind+Pos+Neu+0SgSubj']}, {'word_form': '.', 'fst_analyses': []}]",rg
Ingii-kanoonaa ondaas imaa ji-bi-inabid.,I asked him to sit a little closer.,"[{'word_form': 'ingii-kanoonaa', 'fst_analyses': ['PVTense/gii+ganoozh+VTA+Ind+Pos+Neu+1SgSubj+3SgProxObj']}, {'word_form': 'ondaas', 'fst_analyses': ['ondaas+ADVLoc']}, {'word_form': 'imaa', 'fst_analyses': ['imaa+ADVLoc']}, {'word_form': 'ji-bi-inabid', 'fst_analyses': ['PVTense/daa+PVDir/bi+inabi+VAI+Cnj+Pos+Neu+3SgProxSubj', 'PVTense/ga+PVDir/bi+inabi+VAI+Cnj+Pos+Neu+3SgProxSubj']}, {'word_form': '.', 'fst_analyses': []}]",es
Babiizigitaagozi gaa-bi-ganoozhid zhebaa. Agaawaa go ninisidotawaa.,He sounded hoarse when I called him this morning. I could barely understand him.,"[{'word_form': 'babiizigitaagozi', 'fst_analyses': ['babiizigitaagozi+VAI+Ind+Pos+Neu+3SgProxSubj']}, {'word_form': 'gaa-bi-ganoozhid', 'fst_analyses': ['PVSub/gaa+PVDir/bi+ganoozh+VTA+Cnj+Pos+Neu+3SgProxSubj+1SgObj']}, {'word_form': 'zhebaa', 'fst_analyses': ['zhebaa+ADVTmp']}, {'word_form': '.', 'fst_analyses': []}, {'word_form': 'agaawaa', 'fst_analyses': ['agaawaa+ADVDeg']}, {'word_form': 'go', 'fst_analyses': ['go+PCDisc']}, {'word_form': 'ninisidotawaa', 'fst_analyses': ['nisidotaw+VTA+Ind+Pos+Neu+1SgSubj+3SgProxObj']}, {'word_form': '.', 'fst_analyses': []}]",nj
Endaso-dibik iko ninganawaabandaan nimazinaatesijigan.,Every night I watch my television.,"[{'word_form': 'endaso-dibik', 'fst_analyses': ['endaso-dibik+ADVTmp']}, {'word_form': 'iko', 'fst_analyses': ['iko+PCAsp']}, {'word_form': 'ninganawaabandaan', 'fst_analyses': ['ganawaabandan+VTI+Ind+Pos+Neu+1SgSubj+0SgObj']}, {'word_form': 'nimazinaatesijigan', 'fst_analyses': ['mazinaatesijigan+NI+Sg+1SgPoss']}, {'word_form': '.', 'fst_analyses': []}]",rg
Mii imaa endazhi-giikiibingwashid aana-ganawaabandang 'iw mazinaatesijigan.,He fell asleep there while he was trying to watch television.,"[{'word_form': 'mii', 'fst_analyses': ['mii+ADVPred']}, {'word_form': 'imaa', 'fst_analyses': ['imaa+ADVLoc']}, {'word_form': 'endazhi-giikiibingwashid', 'fst_analyses': ['PVRel/dazhi+giikiibingwashi+VAI+Pcp+Pos+Neu+3SgProxSubj+3SgProxHead']}, {'word_form': 'aana-ganawaabandang', 'fst_analyses': ['PVTense/aana+ganawaabandan+VTI+Cnj+Pos+Neu+3SgProxSubj+0PlObj', 'PVTense/aana+ganawaabandan+VTI+Cnj+Pos+Neu+3SgProxSubj+0SgObj']}, {'word_form': 'iw', 'fst_analyses': ['iw+PRONDem+NI+Sg']}, {'word_form': 'mazinaatesijigan', 'fst_analyses': ['mazinaatesijigan+NI+Sg']}, {'word_form': '.', 'fst_analyses': []}]",es
Gii-minwaatese i'iwe gaa-o-ganawaabandamaang mazinaatesijigan i'imaa godagiing.,There was a good movie we went and watched at our neighbors.,"[{'word_form': 'gii-minwaatese', 'fst_analyses': ['PVTense/gii+minwaatese+VII+Ind+Pos+Neu+0SgSubj']}, {'word_form': ""i'iwe"", 'fst_analyses': [""i'iwe+PRONDem+NI+Sg""]}, {'word_form': 'gaa-o-ganawaabandamaang', 'fst_analyses': ['PVSub/gaa+PVDir/o+ganawaabandan+VTI+Cnj+Pos+Neu+ExclSubj+0PlObj', 'PVSub/gaa+PVDir/o+ganawaabandan+VTI+Cnj+Pos+Neu+ExclSubj+0SgObj']}, {'word_form': 'mazinaatesijigan', 'fst_analyses': ['mazinaatesijigan+NI+Sg']}, {'word_form': ""i'imaa"", 'fst_analyses': [""i'imaa+ADVLoc""]}, {'word_form': 'godagiing', 'fst_analyses': ['godagii+VAI+Cnj+Pos+Neu+XSubj']}, {'word_form': '.', 'fst_analyses': []}]",es
Owenji'aan dazhiikawaad ini aagimaakoon onaaginaad.,He's a master at working on ash to bend it to shape.,"[{'word_form': ""owenji'aan"", 'fst_analyses': [""wenji'+VTA+Ind+Pos+Neu+3SgProxSubj+3SgObvObj"", ""wenji'+VTA+Ind+Pos+Neu+3SgProxSubj+3PlObvObj""]}, {'word_form': 'dazhiikawaad', 'fst_analyses': ['dazhiikaw+VTA+Cnj+Pos+Neu+3SgProxSubj+3SgObvObj', 'dazhiikaw+VTA+Cnj+Pos+Neu+3SgProxSubj+3PlObvObj']}, {'word_form': 'ini', 'fst_analyses': ['ini+PRONDem+NI+Pl', 'ini+PRONDem+NA+ObvSg', 'ini+PRONDem+NA+ObvPl']}, {'word_form': 'aagimaakoon', 'fst_analyses': ['aagimaak+NA+ObvSg', 'aagimaak+NA+ObvPl']}, {'word_form': 'onaaginaad', 'fst_analyses': ['onaagin+VTA+Cnj+Pos+Neu+3SgProxSubj+3SgObvObj', 'onaagin+VTA+Cnj+Pos+Neu+3SgProxSubj+3PlObvObj']}, {'word_form': '.', 'fst_analyses': []}]",es
Gii-minwaagamin i'iw gijikonayeziganaaboo.,The hominey soup tasted good.,"[{'word_form': 'gii-minwaagamin', 'fst_analyses': ['PVTense/gii+minwaagamin+VII+Ind+Pos+Neu+0SgSubj']}, {'word_form': ""i'iw"", 'fst_analyses': [""i'iw+PRONDem+NI+Sg""]}, {'word_form': 'gijikonayeziganaaboo', 'fst_analyses': ['gijikonayeziganaaboo+NI+Sg']}, {'word_form': '.', 'fst_analyses': []}]",es
Ingii-mina'igoo aniibiishaaboo. Gii-minwaagamin.,They gave me some tea. It really tasted good.,"[{'word_form': ""ingii-mina'igoo"", 'fst_analyses': [""PVTense/gii+mina'+VTA+Ind+Pos+Neu+XSubj+1SgObj""]}, {'word_form': 'aniibiishaaboo', 'fst_analyses': ['aniibiishaaboo+NI+Sg']}, {'word_form': '.', 'fst_analyses': []}, {'word_form': 'gii-minwaagamin', 'fst_analyses': ['PVTense/gii+minwaagamin+VII+Ind+Pos+Neu+0SgSubj']}, {'word_form': '.', 'fst_analyses': []}]",rg
Geyaabi ninibiiwaanikwe. Agwajiing niwii'-ando-bengwaanikweyaash.,My hair is till wet. I'm going outside to get my hair dry in the wind.,"[{'word_form': 'geyaabi', 'fst_analyses': ['geyaabi+ADVTmp']}, {'word_form': 'ninibiiwaanikwe', 'fst_analyses': ['nibiiwaanikwe+VAI+Ind+Pos+Neu+1SgSubj']}, {'word_form': '.', 'fst_analyses': []}, {'word_form': 'agwajiing', 'fst_analyses': ['agwajiing+ADVLoc']}, {'word_form': ""niwii'-ando-bengwaanikweyaash"", 'fst_analyses': [""PVTense/wii'+PVLex/ando+bengwaanikweyaashi+VAI+Ind+Pos+Neu+1SgSubj""]}, {'word_form': '.', 'fst_analyses': []}]",nj
Gidaa-wenipazhi'aa na go.,Can you easily convince him?,"[{'word_form': ""gidaa-wenipazhi'aa"", 'fst_analyses': [""PVTense/daa+wenipazhi'+VTA+Ind+Pos+Neu+2SgSubj+3SgProxObj""]}, {'word_form': 'na', 'fst_analyses': ['na+PCDisc']}, {'word_form': 'go', 'fst_analyses': ['go+PCDisc']}, {'word_form': '.', 'fst_analyses': []}]",es
Wiineta owenipazhi'aan maajiibizoni'aad ini akikoonsan.,He's the only one who knows how to start the outboard motor.,"[{'word_form': 'wiineta', 'fst_analyses': ['wiineta+PRONPer+NA+3Sg']}, {'word_form': ""owenipazhi'aan"", 'fst_analyses': [""wenipazhi'+VTA+Ind+Pos+Neu+3SgProxSubj+3SgObvObj"", ""wenipazhi'+VTA+Ind+Pos+Neu+3SgProxSubj+3PlObvObj""]}, {'word_form': ""maajiibizoni'aad"", 'fst_analyses': [""maajiibizoni'+VTA+Cnj+Pos+Neu+3SgProxSubj+3SgObvObj"", ""maajiibizoni'+VTA+Cnj+Pos+Neu+3SgProxSubj+3PlObvObj""]}, {'word_form': 'ini', 'fst_analyses': ['ini+PRONDem+NI+Pl', 'ini+PRONDem+NA+ObvSg', 'ini+PRONDem+NA+ObvPl']}, {'word_form': 'akikoonsan', 'fst_analyses': ['akik+NA+Dim+ObvSg', 'akik+NA+Dim+ObvPl', 'akikoons+NA+ObvPl', 'akikoons+NA+ObvSg']}, {'word_form': '.', 'fst_analyses': []}]",es
Gizhiiwe awe binesi noondaagozid.,The fowl's call is loud.,"[{'word_form': 'gizhiiwe', 'fst_analyses': ['gizhiiwe+VAI+Ind+Pos+Neu+3SgProxSubj']}, {'word_form': 'awe', 'fst_analyses': ['awe+PRONDem+NA+ProxSg']}, {'word_form': 'binesi', 'fst_analyses': ['binesi+NA+ProxSg']}, {'word_form': 'noondaagozid', 'fst_analyses': ['noondaagozi+VAI+Cnj+Pos+Neu+3SgProxSubj']}, {'word_form': '.', 'fst_analyses': []}]",es
Ogii'-agwaabinaan zhingwaakwan gaa-gii-piida'oonaad.,He pulled out the pine that he'd dragged here on the water.,"[{'word_form': ""ogii'-agwaabinaan"", 'fst_analyses': [""PVTense/gii'+agwaabizh+VTA+Ind+Pos+Neu+3SgProxSubj+3SgObvObj"", ""PVTense/gii'+agwaabizh+VTA+Ind+Pos+Neu+3SgProxSubj+3PlObvObj""]}, {'word_form': 'zhingwaakwan', 'fst_analyses': ['zhingwaak+NA+ObvPl', 'zhingwaak+NA+ObvSg']}, {'word_form': ""gaa-gii-piida'oonaad"", 'fst_analyses': [""PVSub/gaa+PVTense/gii+biida'oozh+VTA+Cnj+Pos+Neu+3SgProxSubj+3SgObvObj"", ""PVSub/gaa+PVTense/gii+biida'oozh+VTA+Cnj+Pos+Neu+3SgProxSubj+3PlObvObj""]}, {'word_form': '.', 'fst_analyses': []}]",nj
