Ojibwe,English,Speaker,Audio Link
Agaawaa bapagidanaamo awe gaa-agwaayaadagaad. Mishawagaam gii-ondaadagaa.,The one who just came ashore is gasping for breath. He swam from way out in the lake.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/mishawagaam__av_ex__sp66830_0.mp4
Mishawagaam waasaashkaa.,There are whitecaps out in the lake.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/mishawagaam___ex96__nj520021_0.mp4
Mishawagaam ondoonda'oonaan iniw ogaawan.,He brought the walleyes in from way out in the lake.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/onda_oozh__ta_ex__sp66849_0.mp4
Ingii-tebaabamaa biida'adood gaa-mazina'amawid zhooniyaan gaa'-izhi-gaajibani'od.,I saw the guy that owes me money coming this way, but he quickly hid behind something.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/gaajibani_o___ex33__nj591006.mp4
Ogii-siiga'aan iwe zhiiwaagamizigan imaa biskitenaaganing. Mii imaa gii-abid 'a goon. Mii imaa gii-pigiwiziged nimaamaayiban,,She poured the syrup into a bark sap bucket. There's snow there. That's where my mother made the maple taffy.,rg,https://s3.amazonaws.com/ojibwe-audio-transcoded/bigiwizige__ai_ex__rg68454_1.mp4
Anzig nitaa-noojigiigoowensiwe.,The merganser is a good fisher for minnows.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/anzig___ex121__nj620080.mp4
Giiwitaabiwag gikinoo'amawaaganag. Dibaajimowag ezhi-anishinaabewinikaazowaad miinawaa ezhi-odoodemiwaad.,The students sit in a circle. They introduce themselves by their spirit name and clan.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/anishinaabewinikaazo___ex73__nj611412.mp4
Zhebaa ogii'-wiinaan ge-izhi-anishinaabewinikaazonid. Miiwan iniwe wiiyawen'enyan.,This morning he gave a spirit name to his namesake.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/anishinaabewinikaazo___ex101__nj611420.mp4
Manidoo-giizisoons gii-oshkagoojin awasi-dibikong.,It was the new moon of January the other night.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/oshkagoojin__ai_ex__sp65313_0.mp4
Awasi-dibikong gii'-madwe-zaaga'am aakoziiwigamigong.,I heard that he come out of the hospital two nights ago.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/awasi-dibikong___ex286__nj520106.mp4
Giinitamawind ina giga-o-bawa'aamin manoomin.,Is it our turn to go knock rice?,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/giinitamawind__pr_ex__sp65681ALT_0.mp4
Giinitamawind gidigoomin ji-gaagiigidoyang.,They're telling us it's our turn to talk.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/giinitamawind___ex254__nj520100.mp4
Ningii-pashkonawaa; onzaam gizhiikaabatoo gii-aazhawa'adoobatood.,I missed (shooting) it because it ran across the road so fast.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/bashkonaw___ex33__nj61130504.mp4
Naawaakigan ogii-sagamigoon ezigaan.,A wood tick bit him in the middle of the chest.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/naawaakigan__av_ex__sp65328_0.mp4
Gaawiin ingodinoo wiidookaazoyan.,It’s okay, you can help.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/gaawiin_20ingodinoo___ex84__nj520004_0.mp4
Megwaa bimosed a'aw inini gaa-izhi-gawised.,When that man was walking he fell down.,rg,https://s3.amazonaws.com/ojibwe-audio-transcoded/gawise__ai_ex__rg68160_0.mp4
Ondaasikana bimose awe akiwenzii.,There's an old man walking on this side of the road.,rg,https://s3.amazonaws.com/ojibwe-audio-transcoded/ondaasikana__av_ex__rg68342_0.mp4
Waaboozwayaan gidaa-gibishe'onan giishpin aazhawagaakowin zaaga'igan gii-gichi-gisinaag.,You should put some rabbit skin in your ear if you are crossing the lake on a really cold day.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/gibishe_on___ex25__nj61130403.mp4
Napaajaya'ii inagakeyaa ingii-pimibizomin imaa miikanaang.,We drove on the wrong side of the road.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/napaajaya_ii__av_ex__sp66038_0.mp4
Ningaabii'anong inagakeyaa ogii-ina'anaan oosan.,He tracked his father toward the west.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/ina_azh__ta_ex__sp67086_0.mp4
Iwidi inagakeyaa izhiwizh.,Take him in that direction.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/izhiwizh__ta_ex__sp65337add_0.mp4
O'owe inagakeyaa gidaa-inagoodoon ni-waabanjigaadegiban.,You should hang it this way so it will be visible.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/inagoodoon__ti2_ex__sp67084_0.mp4
Aaniin inagakeyaa enawendiwaad.,How are they related?,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/inawendiwag__ai_ex__sp66503_0.mp4
Gigii-tebashkina'aag ina zhiishiibag imaa gimashkawaakwajijigani-makakong.,Did you fit the ducks into your freezer?,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/debashkina____ex114__nj61113209.mp4
Wa, gichi-mashkawaagamin i'iw ishkodewaaboo gaa-mina'igooyaan.,Wah, the liquor they gave me to drink is very strong.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/mashkawaagamin__ii_ex__sp65699_0.mp4
Ingii-nagishkawaa indawemaa iwidi zhigaag... zhigaagong gii-shiimaaganishiiwiyaan.,I met my sister in Chicago when I was in the army.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/nagaashkaw__ta_ex__sp66015_0.mp4
Mamadwetoo iwidi awasisag. Namanj ezhichigegwen.,I hear him moving around in the other room. I don't know what he's doing.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/mamadwetoo__ai_ex__sp66416_0.mp4
Awegwen igo gaa-mamadwetood agwajiing dibikong.,I wonder who was making that noise outside last night.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/awegwen_20igo___ex289__nj520065.mp4
Ingii-kashkaabika'aan indoodaabaan degoshinaan imaa endaayaan.,I locked my car when I got home.,rg,https://s3.amazonaws.com/ojibwe-audio-transcoded/gashkaabika_an__ti1_ex__rg68157_0.mp4
Owi-gashkaabika'an iwe bizhikiiwigamig.,Go lock up the cow barn.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/gashkaabika_an___ex54__es564091.mp4
Gigii-gashkaabika'aan ina iwe odaabaan.,Did  you lock the car?,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/gashkaabika_an___ex55__es564092.mp4
Gashkaabika'an gidoodaabaan ingoji wii'-nibaayan gichi-oodenaang.,Lock your car if you're going to spend the night in the city.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/gashkaabika_an___ex109__nj526102.mp4
Gashkaabika'an gimiikana gaa-bi-onji-zaagijibizoyan.,Lock the gate on your driveway you just came out of.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/zaagijibizo___ex110__nj526103.mp4
Ogii-chekibiinaan obakwezhigaansiman ji-nookaabaawenid.,She dunked her cookie to soften it.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/jekibiin___ex64__nj590161.mp4
Daga izhiwizhishin aakoziiwigamigong. Niwii-wi-waabamaa mashkikiiwinini. Nindaakoz.,Please take me to the hospital. I'm going to go see the doctor. I'm sick.,rg,https://s3.amazonaws.com/ojibwe-audio-transcoded/daga__av_ex__rg68211_0.mp4
Gii-kwiinawi-inendam gii-pi-wiindamawind gichi-aakozinid ookomisan.,He didn't know what to think when they came and told him his grandmother was very ill.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/gwiinawi-inendam__ai2_ex__sp67050_0.mp4
Aakoziyaan naa gaa-izhi-wiisagaapineyaan.,I was sick and it just hurt.,rg,https://s3.amazonaws.com/ojibwe-audio-transcoded/wiisagaapine__ai_ex__rg68356_0.mp4
Nisayenh ganabaj bagidenimo. Gaawiin ogashkitoosiin geyaabi ji-wiisinid; onzaam gichi-aakozi.,I think my brother is giving up. He isn't able to eat anymore because his is so very sick.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/bagidenimo___ex122__nj61133602.mp4
Jiigi-gizhaabikizigan onji-baasan gidazhiganan.,Dry your socks near the stove.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/jiigi-gizhaabikizigan___ex65__nj520016_0.mp4
Mii iwidi gaa-pimi-inamog ozide-miikana jiigi-ziibi.,That's where the path goes, by the river.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/jiigi-ziibi__av_ex__sp65325_0.mp4
Mii imaa bemi-izhising oodena jiigi-zaaga'igan.,The town is by the lake.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/jiigi-zaaga_igan__av_ex__sp65325_0.mp4
Jiigi-aasamisag ate nibewin.,There's a bed next to the wall.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/jiigi-aasamisag___ex69__nj520017_0.mp4
Gego izhaaken imaa jiigi-gizhaabikiziganing. Onzaamaabikide onzaam.,Don't go too close to that wood stove. It's kind of overheated.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/onzaamaabikide__ii_ex__sp67027_0.mp4
Nametoo imaa odaabaaniiwigamigong gii-andawaabanjigegwen.,He left signs in the garage that he was looking for things.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/nametoo__ai_ex__sp66044_0.mp4
Onandomaandaan gaa-jaagidewimaatenig.,She's sniffing around for what smells like it's burning.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/andomaandan___ex115__nj592139.mp4
Geyaabi babaamisewag aandegwag. Gaawiin mashi ando-biboonishisiiwag.,The crows are still flying around. They haven’t migrated for the winter yet.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/gaawiin_20mashi___ex78__nj520003_0.mp4
Odaana-gii-wewebiniketawaan aana-wii-noogibinaad iniwen gaa-bimibizonid.,She tried waving his arms at the driver to stop him.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/wewebiniketaw__ta_ex__sp67682_0.mp4
Ogii-noogibinaan ini odayan jibwaa-niminaakowaad.,She stopped her horse before they got on the ice.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/noogibizh___ex109__es675017.mp4
Aaniish enamog 'iw miikana.,How is that road?,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/inamon__ii_ex__sp65205_0.mp4
Maanamonoon iniw miikanan.,The roads are bad.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/maanamon__ii_ex_0p__sp67437_0.mp4
Aabiding iidog gii-pabimose 'aw mindimooyenh imaa miikanaang.,Once upon a time there was an old lady walking along on the road.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/aabiding_iidog__av_ex__sp65819_0.mp4
Miikanaang izhi-wanii'amaw amik.,Set your trap for a beaver on its trail.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/miikana___ex37__nj523115.mp4
Ogii-pabaa-gikinawaaji'aawaan iniwen mitigoon ge-giishkizhomind.,They went around marking the trees they were going to cut down.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/gikinawaaji____ex164__es562179.mp4
Indaga o-binibidoon ini apishimoniiginan.,Go take the sheets down (off the line).,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/binibidoon___ex51__es67372.mp4
Ingii-nanawiz aana-... aana-gii-kiiwaseyaan. Ingii-waniikenan indanwiiman.,I didn't have very good luck when I went hunting. I forgot my shells.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/waniike__ai_ex__sp66864_0.mp4
Ningii'-nanawiz gii-naadagweyan. Gaawiin awiya ningii'-nagwaanaasii. Gaawiin gegoo ningii'-nagwaadanziin.,I was skunked checking my snares. I didn't snare anybody. I didn't snare anything.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/gaawiin_20awiya___ex79__nj520004.mp4
Ogii-naajinizha'aan omaa wenji-biitood awe... awegodowen dinowa.,He's waiting because he sent for something, I don't know what.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/naajinizha_ige__ai_ex__sp65508_0.mp4
Ingii-waambandaan iwidi gichi-jiimaan gechi-mangadeyaag.,I saw a really wide big boat over there.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/mangadeyaa__ii_ex__sp66871_0.mp4
Ozhitamawishin ge-nawapoyaan.,Make a lunch for me to take along.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/nawapo__ai_ex__sp66076_0.mp4
Mashkodeng ingii-pabaa-inaab ziigwanong.,I went scouting around on the prairie last spring. [from a song],es,https://s3.amazonaws.com/ojibwe-audio-transcoded/mashkode__ni_ex__sp66873_0.mp4
Gii-aapidendi awe gaa-kiiwooded ziigwanong.,The one who travelled last spring never came back.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/aapidendi__ai_ex__sp67203_0.mp4
Obi-zaagidoomaan ogwizisensan. Dikinaaganing dakobizowan.,He came out carrying his little son on his back in a cradle board.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/zaagidoom___ex122__nj529109.mp4
Gaawiin minwamanji'osii gaa-onji-nanaandomod.,He didn't feel good; that's why he went for treatment.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/nanaandomo__ai_ex__sp66034_0.mp4
Zhooniyaa nindayaawaa nizhooniyaa-mashkimodaang.,I have money in my wallet,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/zhooniyaa-mashkimod__ni_ex__sp69011.mp4
Ogii-andoojiishkaan 'iw ozhooniyaa-mashkimodens gaa-paninang imaa gashkii-dibikatenig ji-... odaabaaniiwigamigong.,He was trying to find the billfold he dropped in the darkened garage.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/andoojiishkaw__ta_ex__sp67053_0.mp4
Niminwamanji' igo.,I feel pretty good.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/minwamanji_o___ex69__nj824034.mp4
Gaawiin igo niminomanji'osii.,I don't feel too good.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/minwamanji_o___ex71__nj824035.mp4
Gaawiin minwamanji'osii gaa-onji-nanaandomod.,He didn't feel good; that's why he went for treatment.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/nanaandomo__ai_ex__sp66034_0.mp4
Naanginigoziwag igiweg opiniig imaa baanzowaad mashkimodaang.,Those potatoes in the sack are light.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/naanginigozi__ai_ex__sp66829_0.mp4
Aanawi go ogii-gikendaan ji-wekwaaseying iwe ziinzibaakwad.,He knew that we were going to run out of sugar but he didn't do anything about it.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/gikendaan__ti1_ex__sp67008_0.mp4
Gaawiin aapiji ogikendanziin omiikana gaa-onji-wanibizod.,He didn't know his road --  that's why he got lost.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/wanibizo__ai_ex__sp65518_0.mp4
Gego memwech wiindamawaaken. Aazha ogikendaan waa'-izhichiged.,You don't have to tell him. He already knows what to do.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/gego_20memwech___ex119__nj610009_0.mp4
Gaawiin ingii-gikendanziin waa-izhichigeyaan, gaa-izhi-gagwejitooyaan.,I didn't know what to do, so I tried it.,rg,https://s3.amazonaws.com/ojibwe-audio-transcoded/gagwejitoon__ti2_ex__rg68154_0.mp4
Ogikendaanaawaa gakina gegoo.,They know it all.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/gikendan__ti1_ex__sp65657_0.mp4
Bekaa bimibizon aazhawibizowin zaaga'igan gaa-gikendanziwan. Maagizhaa gidaa-bitaabikishin,Go slow going across when you don't know the lake. You might hit a reef.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/aazhawibizo___ex44__nj61130507.mp4
Gego izhinoo'waaken giiji-bimaadizii aanawi go gii-bizhishigwaabikak.,Don't aim your gun at a fellow human being even if it is empty.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/izhinoo_wi___ex36__nj61130506.mp4
Ogiji-nibewin daningwaamo bizhiins.,A cat is sleeping on the bed.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/ogiji-nibewin___ex184__nj520047.mp4
Nimookamanji'. Ganabaj niwii'-agigokaa. Apane ninjaachaam.,I think I have a cold coming on. I'm always sneezing.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/mookamanji_o___ex41__nj529083.mp4
Giiyaabi na ishpi-giizhigadinig gii-oninamaad.,Was it still daylight when he got ready for bed?,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/oninamaa__ai_ex__sp65966_0.mp4
Bangii aanakwadowan.,There's a few clouds in the sky.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/aanakwadowan___ex105__nj747009.mp4
Oshkinaweg bakitejii'igewag iwidi jiigikana.,The young men are playing baseball over there by the road,,rg,https://s3.amazonaws.com/ojibwe-audio-transcoded/oshkinawe__na_ex__gp68051add_0.mp4
Aapiji go inzinigwenimaa awe indooshkinawem. Mii 'i gii-maajidaabii'iwed.,I worrry about my young son because he's started driving.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/maajidaabii_iwe__ai_ex__sp67432_1.mp4
Nisawi-waakaa'igan ningii'-waabamaag oshkinaweg dazhi-zagaswaawaad.,I saw a teenagers smoking in the alley.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/nisawi-waakaa_igan___ex97__nj520036_0.mp4
Gii-panoomigo gaa-onji-bookogaadeshing awe oshkinawe.,That young man broke his leg because he fell off the horse.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/banoomigo___ex30__es562106.mp4
Giiwitaabiwag gikinoo'amawaaganag. Dibaajimowag ezhi-anishinaabewinikaazowaad miinawaa ezhi-odoodemiwaad.,The students sit in a circle. They introduce themselves by their spirit name and clan.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/anishinaabewinikaazo___ex73__nj611412.mp4
Wawaasaabizowag igiweg bizhikiwag mekwaasenodawagwaa,The eyes of the cows I flashed my light on are showing.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/wawaasaabizo__ai_ex__sp67670_0.mp4
Niin iko ningii-mimigosaga'ige gii-wiinisagaamagak 'i endaayaang.,I used to be the one to scrub the floor when our floor was dirty.,rg,https://s3.amazonaws.com/ojibwe-audio-transcoded/wiinisagaa__ii_ex__rg68369_0.mp4
Wiinisagaani endaad nookoo. Niwii'-awi-giziisaginamawaa.,My grandma's floor is dirty. I'm going to go wash it for her.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/wiinisagaa___ex67__nj529009.mp4
Gaawiin ingii-gikendanziin waa-izhichigeyaan, gaa-izhi-gagwejitooyaan.,I didn't know what to do, so I tried it.,rg,https://s3.amazonaws.com/ojibwe-audio-transcoded/gagwejitoon__ti2_ex__rg68154_0.mp4
Babiiwizhenyiwa' oniijaanisa'.,Her children are small.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/babiiwizhenyi___ex139__nj61133201.mp4
Gego zaaminaaken awe manidoosh.,Don't touch that bug.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/zaamin___ex123__nj747052.mp4
Zhebaa ningii-noondawaa a'aw animosh madwe-migid.,This morning I heard the dog barking.,rg,https://s3.amazonaws.com/ojibwe-audio-transcoded/zhebaa__av_ex__rg68211_0.mp4
Gaawiin ninoondaagosiin a'aw inini. Ganabaj gagiibishe.,That man didn't hear me. I think he's deaf.,rg,https://s3.amazonaws.com/ojibwe-audio-transcoded/gagiibishe__ai_ex__rg68152_0.mp4
Awasisag iwidi namadabi awe endwewemad. Ningikenimaa iwidi ayaad. Ninoondawaa megaded.,The person you asking for is sitting in the other room. I know he's there because I hear him burping.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/megade__ai_ex__sp67442_0.mp4
Awiya ningii'-noondawaa biibaagid gii-biidaabang.,I heard someone yelling at daybreak.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/noondaw___ex69__nj611371.mp4
Ningii'-noondawaa "gaawiin" ikidod. Gaawiin ganabaj odaa-gashkitoon.,I heard him say "No." He doesn't think he can do it.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/noondaw___ex71__nj590151.mp4
Gagwe-noondaw gwayak ekidod.,Hear h/ out. / Try to understand what h/ is saying.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/noondaw___ex72__nj590152.mp4
Ningii'-noondaagoo na gaa-gii'-ikidowaan.,Was what I said heard? = Did you understand me?,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/noondaw___ex80__nj590148.mp4
Ogii-nibiikaadaan i'iwe noomazhaan wenji-jiikaakiziged.,He laced that linament [watering it to make it drinkable] so that's why he's half-shot.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/noomazhaan__ni_ex__sp66054_0.mp4
Indaga mikamaw odooshkiinzhigokaanan awe gimishoomis.,Please find your grandfather's glasses.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/mikamaw__ta_ex__sp66913_0.mp4
Anzhikewabi awe gimishoomisinaan.,Our grandfather is home alone.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/anzhikewabi__ai_ex__sp67218_0.mp4
Gego babaamenimaaken gimishoomis. Megwaa apaakozige.,Don't bother your grandfather. He's busy making kinnickinick,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/apaakozige__ai_ex__sp67222_0.mp4
Aweniban naa gii-animosed a'awe, ganabaj gii-ni-bake.,That person who was walking away is gone, I think he turned off the road.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/bake__ai_ex__espo67305_0.mp4
Ogii-bakewinaan iniw odikweman.,He divorced his wife.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/bakewin__ta_ex__espo67306_0.mp4
Giishpin okawi'ad awiya wawaaga'amiid, gaag a'a gaa-bimikawed.,If you see bowlegged tracks of something, they're porcupine tracks.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/wawaaga_amii___ex54__nj527017.mp4
Gii'-agozigwaji gii-dasoozod amik.,The beaver got stuck to the ice when it was in the trap.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/agozigwaji___ex32__nj61130202.mp4
Gaawiin ngii-tebinaasii awe asabaabiins ishpaya'ii iwidi gaa-achigaazod.,I couldn't reach that thread because they put it up too high for me.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/ishpaya_ii___ex58__es562058_1.mp4
Nookomis gii'-achigaazo gikaawigamigong; onzaam obwaanawitoon ji-bami'idizod.,My grandmother was put in a retirement home because she isn't able to take care of herself.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/achigaazo___ex73__nj611363.mp4
Ningoshko'ig a'aw gaa-saagewed nimishoomis.,My grandfather surprised me when he came around the corner.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/zaagewe__ai_ex__sp66942_0.mp4
Aaboodazhigane. Ganabaj wewiib gii-piitazhigane.,He's got his socks on inside out. He must have put them on in a hurry.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/aaboodazhigane___ex83__nj611359.mp4
Anaamakamig aanind daawag awesiinyensag.,Some little animals live under the ground.,rg,https://s3.amazonaws.com/ojibwe-audio-transcoded/anaamakamig__av_ex__rg68202_0.mp4
Anaamakamig dazhigiwag bagaanag.,Peanuts grow under the ground.,rg,https://s3.amazonaws.com/ojibwe-audio-transcoded/anaamakamig___ex25__rg683032.mp4
Anaamakamig bimaabikisin i'iw nibi.,The water line runs under the ground.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/anaamakamig__av_ex__sp65316_0.mp4
Anaamakamig maa ingii-kaanaa nzhooniyaam.,I hide my money underground.,lw,https://s3.amazonaws.com/ojibwe-audio-transcoded/anaamakamig___ex61__lw580004.mp4
Anaamakamig gii-onji-mookii a'aw obiigomagakii,The toad came out from under the ground.,gh,https://s3.amazonaws.com/ojibwe-audio-transcoded/anaamakamig___ex55__gh580003.mp4
Nising naa ninjiibaakwe noongom.,I cooked three times today.,rg,https://s3.amazonaws.com/ojibwe-audio-transcoded/nising__qnt_ex__rg68346.mp4
Nising ningii-paashkizwaa mooz gaa-gii-piinag zhebaa.,I had to shoot the moose I brought home this morning three times.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/nising___ex57__nj520070.mp4
Wenipanizi baanizhaawind awe ogaa.,It's easy to filet a walleye.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/wenipanizi__ai_ex__sp67684_0.mp4
Wenipanizi debibinind awe mishtadim.,That horse is easy to catch.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/wenipanizi__ai_ex__sp66674.mp4
Bebooninig gii-nitaawigi.,She was born in the winter.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/biboon___ex105__nj595043.mp4
Aapiji goonikaa noongom biboong.,This winter there is a lot of snow.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/goonikaa__ii_ex__sp65359_0.mp4
Dagwaagong ningii-manisemin wii-aabajitooyaang biboong.,Last fall we cut fire wood for us to use in the winter.,rg,https://s3.amazonaws.com/ojibwe-audio-transcoded/dagwaagong__av_ex__rg68205ad_0.mp4
Aaniin epiichi-biboong.,How far along in the winter is it?,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/biboon___ex75__nj611368.mp4
Bakaan gewiin odizhisidoon iwe nagamon ena'amaang.,He sings that song different than the way we sing it.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/izhisidoon__ti2_ex__sp67084_0.mp4
Mii 'i gaa-inanoonind ji-odaabii'iwed gaa-onji-babaamidaabii'iwed.,He was hired to drive so that's why he's driving around.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/babaamidaabii_iwe__ai_ex__sp65513_0.mp4
Madweyaabideshin a'aw gwiiwizens epiitajid.,That boy's teeth are chattering he's so cold.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/madweyaabideshin__ai_ex__sp66877_0.mp4
Indaga bi-ashidaakonan 'i diba'iganaatig. Niwii-anda-gikendaan aaniin epiitaag.,Come and put that yardstick against the wall. I want to find out how high it is.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/ashidaakonan__ti1_ex__sp67228_0.mp4
Ningaabii'anong inagakeyaa izhinoo'ige ondaanimak.,He's indicating that the wind is from the north.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/ningaabii_anong__av_ex__sp65577_0.mp4
Gakaabikaaning gii-onjibide iwe gaa-pooniimagak bemiseg.,That plane that landed flew in from Minneapolis.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/onjibide__ii_ex__sp65954_0.mp4
Wiinjiigimaagwad zaaga'amoowigamig.,The outhouse smells shitty.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/wiinjiigimaagwad___ex63__nj525076.mp4
Gabe-onaagosh owaazakonendamowaan iniwen nenaa'idaabaanikenid.,All evening he's holding a light for the guy who's working on his car.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/waazakonendamaw__ta_ex__sp67679_0.mp4
Gii-minochige gii-asanjigod ini ozhooniyaaman imaa zhooniyaawigamigong.,He did a good thing when he deposited his money into the bank.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/minochige__ai_ex__sp67446_0.mp4
Zhebaa omaa gii-pi-boonii migizi ogidabak.,This morning an eagle landed on the roof.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/ogidabak___ex170__nj520045.mp4
Gego omaa atooken ogidabak. Gidoonaaganens da-diitibiwebaasin.,Don't put your it here on on the top of the roof. Your cup might get blown down.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/diitibiwebaasin___ex24__nj528003.mp4
