ojibwe,english,fst_readings,speaker
Omaanikaagon gizhaatewin gaa-onji-dewikwed Shirley.,Shirley has a headache because of the heat.,"[{'word_form': 'omaanikaagon', 'fst_analyses': []}, {'word_form': 'gizhaatewin', 'fst_analyses': ['gizhaatewin+NI+Sg']}, {'word_form': 'gaa-onji-dewikwed', 'fst_analyses': ['PVSub/gaa+PVRel/onji+dewikwe+VAI+Cnj+Pos+Neu+3SgProxSubj', 'PVTense/gii+PVRel/onji+dewikwe+VAI+Pcp+Pos+Neu+3SgProxSubj+3SgProxHead']}, {'word_form': 'shirley', 'fst_analyses': []}, {'word_form': '.', 'fst_analyses': []}]",nj
Maagoshkan ji-gibichibizoyan.,Step on your brakes to stop.,"[{'word_form': 'maagoshkan', 'fst_analyses': ['maagoshkan+VTI+Imp+Sim+2SgSubj+0PlObj', 'maagoshkan+VTI+Imp+Sim+2SgSubj+0SgObj']}, {'word_form': 'ji-gibichibizoyan', 'fst_analyses': ['PVTense/daa+gibichibizo+VAI+Cnj+Pos+Neu+2SgSubj', 'PVTense/ga+gibichibizo+VAI+Cnj+Pos+Neu+2SgSubj']}, {'word_form': '.', 'fst_analyses': []}]",nj
Awiya awasi-baawitig danwewezigewag.,There's somebody shooting on the other side of the rapids.,"[{'word_form': 'awiya', 'fst_analyses': ['awiya+PRONIndf+NA']}, {'word_form': 'awasi-baawitig', 'fst_analyses': ['PNLex/awasi+baawitig+NI+Sg', 'awasi-baawitig+ADVLoc']}, {'word_form': 'danwewezigewag', 'fst_analyses': ['danwewezige+VAI+Ind+Pos+Neu+3PlProxSubj']}, {'word_form': '.', 'fst_analyses': []}]",nj
Gii'-agaashiinyensi nindaanikoobijigan gaa-gii'-nitaawiigid. Gii'-niso-dibaabiishkoojiganezi eta awashime.,My great-grandchild was so small when he was born. He only weighed a little over three pounds.,"[{'word_form': ""gii'-agaashiinyensi"", 'fst_analyses': [""PVTense/gii'+agaashiinyensi+VAI+Ind+Pos+Neu+3SgProxSubj""]}, {'word_form': 'nindaanikoobijigan', 'fst_analyses': ['aanikoobijigan+NA+ProxSg+1SgPoss']}, {'word_form': ""gaa-gii'-nitaawiigid"", 'fst_analyses': []}, {'word_form': '.', 'fst_analyses': []}, {'word_form': ""gii'-niso-dibaabiishkoojiganezi"", 'fst_analyses': [""PVTense/gii'+niso-dibaabiishkoojiganezi+VAI+Ind+Pos+Neu+3SgProxSubj"", ""PVTense/gii'+PVQnt/niso+dibaabiishkoojiganezi+VAI+Ind+Pos+Neu+3SgProxSubj""]}, {'word_form': 'eta', 'fst_analyses': ['eta+ADVDeg']}, {'word_form': 'awashime', 'fst_analyses': ['awashime+ADVDeg']}, {'word_form': '.', 'fst_analyses': []}]",nj
Aaniin epiitagoodeg.,How high does it hang?,"[{'word_form': 'aaniin', 'fst_analyses': ['aaniin+PCInterj', 'aaniin+ADVInter']}, {'word_form': 'epiitagoodeg', 'fst_analyses': ['apiitagoode+VII+Pcp+Pos+Neu+0SgSubj+0SgHead']}, {'word_form': '.', 'fst_analyses': []}]",nj
Aaniin giin enendaman.,What do you think?,"[{'word_form': 'aaniin', 'fst_analyses': ['aaniin+PCInterj', 'aaniin+ADVInter']}, {'word_form': 'giin', 'fst_analyses': ['giin+PRONPer+NA+2Sg']}, {'word_form': 'enendaman', 'fst_analyses': []}, {'word_form': '.', 'fst_analyses': []}]",nj
Naajibatwaadan gigiishkiboojigan. Giga-andawinisemin.,Go run for your saw. We'll go get some firewood.,"[{'word_form': 'naajibatwaadan', 'fst_analyses': ['naajibatwaadan+VTI+Imp+Sim+2SgSubj+0PlObj', 'naajibatwaadan+VTI+Imp+Sim+2SgSubj+0SgObj']}, {'word_form': 'gigiishkiboojigan', 'fst_analyses': ['giishkiboojigan+NI+Sg+2SgPoss']}, {'word_form': '.', 'fst_analyses': []}, {'word_form': 'giga-andawinisemin', 'fst_analyses': ['PVTense/ga+andawinise+VAI+Ind+Pos+Neu+InclSubj']}, {'word_form': '.', 'fst_analyses': []}]",nj
Ginwaabiigizi manidoosh.,The bug is long.,"[{'word_form': 'ginwaabiigizi', 'fst_analyses': ['ginwaabiigizi+VAI+Ind+Pos+Neu+3SgProxSubj']}, {'word_form': 'manidoosh', 'fst_analyses': ['manidoosh+NA+ProxSg']}, {'word_form': '.', 'fst_analyses': []}]",nj
Wiinge naa inaadiwag niizhoodenyag.,My twins sure look alike.,"[{'word_form': 'wiinge', 'fst_analyses': ['wiinge+ADVDeg']}, {'word_form': 'naa', 'fst_analyses': ['naa+PCEmph']}, {'word_form': 'inaadiwag', 'fst_analyses': ['inaadiwag+VAI+Ind+Pos+Neu+3PlProxSubj+3PlProxObj']}, {'word_form': 'niizhoodenyag', 'fst_analyses': ['niizhoodenh+NA+ProxPl']}, {'word_form': '.', 'fst_analyses': []}]",nj
Nindinaadimin nimisenh,My older sister and I look alike.,"[{'word_form': 'nindinaadimin', 'fst_analyses': ['inaadiwag+VAI+Ind+Pos+Neu+ExclSubj+ExclObj']}, {'word_form': 'nimisenh', 'fst_analyses': ['miseny+NAD+ProxSg+1SgPoss']}]",nj
Azhe-giiwewidoon; onzaam agaasiigad. Gaawiin nindaa-debishkanziin.,Take it back because it's too small. I can't fit into it.,"[{'word_form': 'azhe-giiwewidoon;', 'fst_analyses': []}, {'word_form': 'onzaam', 'fst_analyses': ['onzaam+ADVQnt']}, {'word_form': 'agaasiigad', 'fst_analyses': ['agaasiigad+VII+Ind+Pos+Neu+0SgSubj']}, {'word_form': '.', 'fst_analyses': []}, {'word_form': 'gaawiin', 'fst_analyses': ['gaawiin+ADVNeg']}, {'word_form': 'nindaa-debishkanziin', 'fst_analyses': ['PVTense/daa+debishkan+VTI+Ind+Neg+Neu+1SgSubj+0SgObj']}, {'word_form': '.', 'fst_analyses': []}]",nj
Odaadowebishkaan obiinzikawaagan; onzaam agaasiigadini.,He split his jacket open because it's too small for him.,"[{'word_form': 'odaadowebishkaan', 'fst_analyses': ['daadowebishkan+VTI+Ind+Pos+Neu+3SgProxSubj+0SgObj']}, {'word_form': 'obiinzikawaagan;', 'fst_analyses': []}, {'word_form': 'onzaam', 'fst_analyses': ['onzaam+ADVQnt']}, {'word_form': 'agaasiigadini', 'fst_analyses': ['agaasiigad+VII+Ind+Pos+Neu+0SgObvSubj']}, {'word_form': '.', 'fst_analyses': []}]",nj
Nookizii gibakwezhiganikaan.,Your bannock is nice and soft.,"[{'word_form': 'nookizii', 'fst_analyses': []}, {'word_form': 'gibakwezhiganikaan', 'fst_analyses': ['bakwezhiganikaan+NA+ProxSg+2SgPoss']}, {'word_form': '.', 'fst_analyses': []}]",nj
Okosidoon misan ji-baategin.,Pile up the firewood to dry.,"[{'word_form': 'okosidoon', 'fst_analyses': ['okosidoon+VTI+Imp+Sim+2SgSubj+0PlObj', 'okosidoon+VTI+Imp+Sim+2SgSubj+0SgObj']}, {'word_form': 'misan', 'fst_analyses': ['mishi+NI+Pl']}, {'word_form': 'ji-baategin', 'fst_analyses': ['PVTense/daa+baate+VII+Cnj+Pos+Neu+0PlSubj', 'PVTense/ga+baate+VII+Cnj+Pos+Neu+0PlSubj']}, {'word_form': '.', 'fst_analyses': []}]",nj
Daga apii bi-wiiji'ishiikan wii'-okosidoowaan misan.,Could you please come and help me when I pile up the wood.,"[{'word_form': 'daga', 'fst_analyses': ['daga+PCDisc']}, {'word_form': 'apii', 'fst_analyses': ['apii+ADVTmp']}, {'word_form': ""bi-wiiji'ishiikan"", 'fst_analyses': [""PVDir/bi+wiiji'+VTA+Imp+Del+2SgSubj+1SgObj""]}, {'word_form': ""wii'-okosidoowaan"", 'fst_analyses': []}, {'word_form': 'misan', 'fst_analyses': ['mishi+NI+Pl']}, {'word_form': '.', 'fst_analyses': []}]",nj
Aaniin enendaagozid.,What do people think of h/? How is s/he regarded?,"[{'word_form': 'aaniin', 'fst_analyses': ['aaniin+PCInterj', 'aaniin+ADVInter']}, {'word_form': 'enendaagozid', 'fst_analyses': ['inendaagozi+VAI+Pcp+Pos+Neu+3SgProxSubj+3SgProxHead']}, {'word_form': '.', 'fst_analyses': []}]",nj
Maamakaadakamig inendaagozi gaa-anokiitang waakaa'igan.,It's amazing the way he's working on that house.,"[{'word_form': 'maamakaadakamig', 'fst_analyses': ['maamakaadakamig+PCDisc']}, {'word_form': 'inendaagozi', 'fst_analyses': ['inendaagozi+VAI+Ind+Pos+Neu+3SgProxSubj']}, {'word_form': 'gaa-anokiitang', 'fst_analyses': ['PVSub/gaa+anokiitan+VTI+Cnj+Pos+Neu+3SgProxSubj+0PlObj', 'PVSub/gaa+anokiitan+VTI+Cnj+Pos+Neu+3SgProxSubj+0SgObj']}, {'word_form': ""waakaa'igan"", 'fst_analyses': [""waakaa'igan+NI+Sg""]}, {'word_form': '.', 'fst_analyses': []}]",nj
Naada'wik agaaming gaa-madwe-biibaagid.,Go get the guy across the lake that's yelling  (to be picked up).,"[{'word_form': ""naada'wik"", 'fst_analyses': [""naada'wi+VTA+Cnj+Pos+Neu+3SgProxSubj+2SgObj"", ""naada'+VTA+Cnj+Pos+Neu+3SgProxSubj+2SgObj"", ""naada'wi+VTA+Imp+Sim+2PlSubj+3SgProxObj"", ""naada'+VTA+Imp+Sim+2PlSubj+3SgProxObj"", ""naada'wi+VTA+Imp+Sim+2PlSubj+3PlProxObj"", ""naada'+VTA+Imp+Sim+2PlSubj+3PlProxObj""]}, {'word_form': 'agaaming', 'fst_analyses': ['agaaming+ADVLoc']}, {'word_form': 'gaa-madwe-biibaagid', 'fst_analyses': ['PVSub/gaa+PVLex/madwe+biibaagi+VAI+Cnj+Pos+Neu+3SgProxSubj', 'PVTense/gii+PVLex/madwe+biibaagi+VAI+Pcp+Pos+Neu+3SgProxSubj+3SgProxHead']}, {'word_form': '.', 'fst_analyses': []}]",nj
Da-debibii na imaa omoodaabikong.,Will it (a liquid) fit in the jar?,"[{'word_form': 'da-debibii', 'fst_analyses': ['PVTense/ga+debibii+VII+Ind+Pos+Neu+0SgSubj']}, {'word_form': 'na', 'fst_analyses': ['na+PCDisc']}, {'word_form': 'imaa', 'fst_analyses': ['imaa+ADVLoc']}, {'word_form': 'omoodaabikong', 'fst_analyses': []}, {'word_form': '.', 'fst_analyses': []}]",nj
Biinjaya'ii danweweyaange oojiins.,You can hear the flies buzzing inside it.,"[{'word_form': ""biinjaya'ii"", 'fst_analyses': [""biinjaya'ii+ADVLoc""]}, {'word_form': 'danweweyaange', 'fst_analyses': ['danweweyaange+VAI+Ind+Pos+Neu+3SgProxSubj']}, {'word_form': 'oojiins', 'fst_analyses': ['oojiins+NA+ProxSg', 'oojii+NA+Dim+ProxSg']}, {'word_form': '.', 'fst_analyses': []}]",nj
Giizhoopizh giniijaanis dakobinad dikinaaganing.,Wrap up your child warm when you tie him in the cradle board.,"[{'word_form': 'giizhoopizh', 'fst_analyses': ['giizhoopizh+VTA+Imp+Sim+2SgSubj+3SgProxObj', 'giizhoopizh+VTA+Imp+Sim+2SgSubj+3PlProxObj']}, {'word_form': 'giniijaanis', 'fst_analyses': ['niijaanis+NAD+ProxSg+2SgPoss']}, {'word_form': 'dakobinad', 'fst_analyses': ['dakobizh+VTA+Cnj+Pos+Neu+2SgSubj+3SgProxObj']}, {'word_form': 'dikinaaganing', 'fst_analyses': ['dikinaagan+NI+Loc']}, {'word_form': '.', 'fst_analyses': []}]",nj
Gashkaabika'an gimiikana gaa-bi-onji-zaagijibizoyan.,Lock the gate on your driveway you just came out of.,"[{'word_form': ""gashkaabika'an"", 'fst_analyses': [""gashkaabika'an+VTI+Imp+Sim+2SgSubj+0PlObj"", ""gashkaabika'an+VTI+Imp+Sim+2SgSubj+0SgObj""]}, {'word_form': 'gimiikana', 'fst_analyses': ['miikana+NI+Sg+2SgPoss']}, {'word_form': 'gaa-bi-onji-zaagijibizoyan', 'fst_analyses': ['PVSub/gaa+PVDir/bi+PVRel/onji+zaagijibizo+VAI+Cnj+Pos+Neu+2SgSubj']}, {'word_form': '.', 'fst_analyses': []}]",nj
Gemaa gaye gidaa-wiindamawaa.,Or maybe you should tell him.,"[{'word_form': 'gemaa', 'fst_analyses': ['gemaa+ADVConj']}, {'word_form': 'gaye', 'fst_analyses': ['gaye+ADVConj']}, {'word_form': 'gidaa-wiindamawaa', 'fst_analyses': ['PVTense/daa+wiindamaw+VTA+Ind+Pos+Neu+2SgSubj+3SgProxObj']}, {'word_form': '.', 'fst_analyses': []}]",nj
Mewinzha apane gaa'-waabamagiban nimisenh.,It's been a long time since I've seen my younger sister.,"[{'word_form': 'mewinzha', 'fst_analyses': ['mewinzha+ADVTmp']}, {'word_form': 'apane', 'fst_analyses': ['apane+ADVTmp']}, {'word_form': ""gaa'-waabamagiban"", 'fst_analyses': []}, {'word_form': 'nimisenh', 'fst_analyses': ['miseny+NAD+ProxSg+1SgPoss']}, {'word_form': '.', 'fst_analyses': []}]",nj
Aaniin ekoonagak jiimaan?,How long is the boat?,"[{'word_form': 'aaniin', 'fst_analyses': ['aaniin+PCInterj', 'aaniin+ADVInter']}, {'word_form': 'ekoonagak', 'fst_analyses': ['akoonagad+VII+Pcp+Pos+Neu+0SgSubj+0SgHead']}, {'word_form': 'jiimaan', 'fst_analyses': ['jiimaan+NI+Sg']}, {'word_form': '?', 'fst_analyses': []}]",nj
Stacy gii-shizhookam gii-awi-bagidinisaadang ogizhaabikizigan agwajiing.,Stacy stepped on the dog poop when he went and filled up his stove outside.,"[{'word_form': 'stacy', 'fst_analyses': []}, {'word_form': 'gii-shizhookam', 'fst_analyses': ['PVTense/gii+zhizhookam+VAI+Ind+Pos+Neu+3SgProxSubj']}, {'word_form': 'gii-awi-bagidinisaadang', 'fst_analyses': ['PVTense/gii+PVDir/awi+bagidinisaadan+VTI+Cnj+Pos+Neu+3SgProxSubj+0PlObj', 'PVTense/gii+PVDir/awi+bagidinisaadan+VTI+Cnj+Pos+Neu+3SgProxSubj+0SgObj']}, {'word_form': 'ogizhaabikizigan', 'fst_analyses': ['gizhaabikizigan+NI+Sg+3SgProxPoss']}, {'word_form': 'agwajiing', 'fst_analyses': ['agwajiing+ADVLoc']}, {'word_form': '.', 'fst_analyses': []}]",nj
Maamaagojiibidoon gigiishkiboojigan ji-maajiibideg.,Prime your saw so it will start.,"[{'word_form': 'maamaagojiibidoon', 'fst_analyses': ['maamaagojiibidoon+VTI+Imp+Sim+2SgSubj+0PlObj', 'maamaagojiibidoon+VTI+Imp+Sim+2SgSubj+0SgObj']}, {'word_form': 'gigiishkiboojigan', 'fst_analyses': ['giishkiboojigan+NI+Sg+2SgPoss']}, {'word_form': 'ji-maajiibideg', 'fst_analyses': ['PVTense/daa+maajiibide+VII+Cnj+Pos+Neu+0SgSubj', 'PVTense/ga+maajiibide+VII+Cnj+Pos+Neu+0SgSubj', 'PVTense/daa+maajiibide+VII+Cnj+Pos+Neu+0PlSubj', 'PVTense/ga+maajiibide+VII+Cnj+Pos+Neu+0PlSubj']}, {'word_form': '.', 'fst_analyses': []}]",nj
Wawiinge sa naa.,Sure is nice.,"[{'word_form': 'wawiinge', 'fst_analyses': ['wawiinge+ADVMan']}, {'word_form': 'sa', 'fst_analyses': ['sa+PCDisc']}, {'word_form': 'naa', 'fst_analyses': ['naa+PCEmph']}, {'word_form': '.', 'fst_analyses': []}]",nj
Agaasoonagad ninjiimaan. Wawiinge gokokwaa.,My canoe is small. It's very tippy.,"[{'word_form': 'agaasoonagad', 'fst_analyses': ['agaasoonagad+VII+Ind+Pos+Neu+0SgSubj']}, {'word_form': 'ninjiimaan', 'fst_analyses': ['jiimaan+NI+Sg+1SgPoss']}, {'word_form': '.', 'fst_analyses': []}, {'word_form': 'wawiinge', 'fst_analyses': ['wawiinge+ADVMan']}, {'word_form': 'gokokwaa', 'fst_analyses': ['gokokwaa+VII+Ind+Pos+Neu+0SgSubj']}, {'word_form': '.', 'fst_analyses': []}]",nj
Nindagazomig gii-dibaajimod endasobiboonweyaan.,She embarasses me when she tells how old I am,"[{'word_form': 'nindagazomig', 'fst_analyses': ['agazom+VTA+Ind+Pos+Neu+3SgProxSubj+1SgObj']}, {'word_form': 'gii-dibaajimod', 'fst_analyses': ['PVTense/gii+dibaajimo+VAI+Cnj+Pos+Neu+3SgProxSubj']}, {'word_form': 'endasobiboonweyaan', 'fst_analyses': []}, {'word_form': '.', 'fst_analyses': []}]",nj
Agwanaatesidoon gimawinzwaanan jibwaa-baashkijiidegin.,Put your blueberries in the shade before they burst open from the sun.,"[{'word_form': 'agwanaatesidoon', 'fst_analyses': ['agwanaatesidoon+VTI+Imp+Sim+2SgSubj+0PlObj', 'agwanaatesidoon+VTI+Imp+Sim+2SgSubj+0SgObj']}, {'word_form': 'gimawinzwaanan', 'fst_analyses': ['mawinzwaan+NI+Pl+2SgPoss']}, {'word_form': 'jibwaa-baashkijiidegin', 'fst_analyses': ['PVTense/jibwaa+baashkijiide+VII+Cnj+Pos+Neu+0PlSubj']}, {'word_form': '.', 'fst_analyses': []}]",nj
Awenen awe gaa-oshibii'amawad.,Who are you writing (the letter) to?,"[{'word_form': 'awenen', 'fst_analyses': ['awenen+PRONInter+NA+ProxSg']}, {'word_form': 'awe', 'fst_analyses': ['awe+PRONDem+NA+ProxSg']}, {'word_form': ""gaa-oshibii'amawad"", 'fst_analyses': []}, {'word_form': '.', 'fst_analyses': []}]",nj
Binaabigwaniiyaashiwag gozigwaakominag.,The juneberries' flowers are blown down.,"[{'word_form': 'binaabigwaniiyaashiwag', 'fst_analyses': ['binaabigwaniiyaashi+VAI+Ind+Pos+Neu+3PlProxSubj']}, {'word_form': 'gozigwaakominag', 'fst_analyses': ['gozigwaakomin+NA+ProxPl']}, {'word_form': '.', 'fst_analyses': []}]",nj
Ogii-takobinaan oniijaanisensan wii'-nibe'aad.,She bundled her baby up to put him to sleep.,"[{'word_form': 'ogii-takobinaan', 'fst_analyses': ['PVTense/gii+dakobizh+VTA+Ind+Pos+Neu+3SgProxSubj+3SgObvObj', 'PVTense/gii+dakobizh+VTA+Ind+Pos+Neu+3SgProxSubj+3PlObvObj']}, {'word_form': 'oniijaanisensan', 'fst_analyses': ['niijaanis+NAD+Dim+ObvSg+3SgProxPoss', 'niijaanis+NAD+Dim+ObvPl+3SgProxPoss']}, {'word_form': ""wii'-nibe'aad"", 'fst_analyses': [""PVTense/wii'+nibe'+VTA+Cnj+Pos+Neu+3SgProxSubj+3SgObvObj"", ""PVTense/wii'+nibe'+VTA+Cnj+Pos+Neu+3SgProxSubj+3PlObvObj""]}, {'word_form': '.', 'fst_analyses': []}]",nj
Gego baashkizangen gegoo gaa-mamaajiimagak. Akawe weweni ando-gikendan jibwaa-baashkizaman.,Don't just shoot at anything that moves. Make sure you find out what it is before you fire at it.,"[{'word_form': 'gego', 'fst_analyses': ['gego+ADVNeg']}, {'word_form': 'baashkizangen', 'fst_analyses': ['baashkizan+VTI+Imp+Prb+2SgSubj+0PlObj', 'baashkizan+VTI+Imp+Prb+2SgSubj+0SgObj']}, {'word_form': 'gegoo', 'fst_analyses': ['gegoo+PRONIndf+NI']}, {'word_form': 'gaa-mamaajiimagak', 'fst_analyses': ['PVSub/gaa+mamaajii+VAI+Der/magad+VII+Cnj+Pos+Neu+0SgSubj', 'PVSub/gaa+mamaajiimagad+VII+Cnj+Pos+Neu+0SgSubj', 'PVSub/gaa+mamaajii+VAI+Der/magad+VII+Cnj+Pos+Neu+0PlSubj', 'PVSub/gaa+mamaajiimagad+VII+Cnj+Pos+Neu+0PlSubj', 'PVTense/gii+mamaajii+VAI+Der/magad+VII+Pcp+Pos+Neu+0SgSubj+0SgHead', 'PVTense/gii+mamaajiimagad+VII+Pcp+Pos+Neu+0SgSubj+0SgHead']}, {'word_form': '.', 'fst_analyses': []}, {'word_form': 'akawe', 'fst_analyses': ['akawe+ADVTmp']}, {'word_form': 'weweni', 'fst_analyses': ['weweni+ADVMan']}, {'word_form': 'ando-gikendan', 'fst_analyses': ['PVLex/ando+gikendam+VAI+Imp+Sim+2SgSubj', 'PVLex/ando+gikendan+VTI+Imp+Sim+2SgSubj+0PlObj', 'PVLex/ando+gikendan+VTI+Imp+Sim+2SgSubj+0SgObj']}, {'word_form': 'jibwaa-baashkizaman', 'fst_analyses': ['PVTense/jibwaa+baashkizan+VTI+Cnj+Pos+Neu+2SgSubj+0PlObj', 'PVTense/jibwaa+baashkizan+VTI+Cnj+Pos+Neu+2SgSubj+0SgObj']}, {'word_form': '.', 'fst_analyses': []}]",nj
Bagama'amaazo. Ganabaj gii'-niiwezhiwewag gaa-bikwaakwadoonsikewaad.,He came in singing. Maybe the baseball players won the game.,"[{'word_form': ""bagama'amaazo"", 'fst_analyses': [""bagama'amaazo+VAI+Ind+Pos+Neu+3SgProxSubj""]}, {'word_form': '.', 'fst_analyses': []}, {'word_form': 'ganabaj', 'fst_analyses': ['ganabaj+ADVMan']}, {'word_form': ""gii'-niiwezhiwewag"", 'fst_analyses': [""PVTense/gii'+niiwezhiwe+VAI+Ind+Pos+Neu+3PlProxSubj""]}, {'word_form': 'gaa-bikwaakwadoonsikewaad', 'fst_analyses': ['PVSub/gaa+bikwaakwadoonsike+VAI+Cnj+Pos+Neu+3PlProxSubj']}, {'word_form': '.', 'fst_analyses': []}]",nj
Dennis miinawaa ingoji ondamaajimodog gaa-onji-bezikaad.,Dennis was probably busy telling stories again somewhere. That's why he's late.,"[{'word_form': 'dennis', 'fst_analyses': []}, {'word_form': 'miinawaa', 'fst_analyses': ['miinawaa+ADVConj']}, {'word_form': 'ingoji', 'fst_analyses': ['ingoji+ADVDeg']}, {'word_form': 'ondamaajimodog', 'fst_analyses': ['ondamaajimo+VAI+Ind+Pos+Dub+3SgProxSubj']}, {'word_form': 'gaa-onji-bezikaad', 'fst_analyses': ['PVSub/gaa+PVRel/onji+bezikaa+VAI+Cnj+Pos+Neu+3SgProxSubj', 'PVTense/gii+PVRel/onji+bezikaa+VAI+Pcp+Pos+Neu+3SgProxSubj+3SgProxHead']}, {'word_form': '.', 'fst_analyses': []}]",nj
Maamaagojiibidoon gigiishkiboojigan ji-maajiibideg.,Prime your saw so it will start.,"[{'word_form': 'maamaagojiibidoon', 'fst_analyses': ['maamaagojiibidoon+VTI+Imp+Sim+2SgSubj+0PlObj', 'maamaagojiibidoon+VTI+Imp+Sim+2SgSubj+0SgObj']}, {'word_form': 'gigiishkiboojigan', 'fst_analyses': ['giishkiboojigan+NI+Sg+2SgPoss']}, {'word_form': 'ji-maajiibideg', 'fst_analyses': ['PVTense/daa+maajiibide+VII+Cnj+Pos+Neu+0SgSubj', 'PVTense/ga+maajiibide+VII+Cnj+Pos+Neu+0SgSubj', 'PVTense/daa+maajiibide+VII+Cnj+Pos+Neu+0PlSubj', 'PVTense/ga+maajiibide+VII+Cnj+Pos+Neu+0PlSubj']}, {'word_form': '.', 'fst_analyses': []}]",nj
Babiizigitaagozi gaa-bi-ganoozhid zhebaa. Agaawaa go ninisidotawaa.,He sounded hoarse when I called him this morning. I could barely understand him.,"[{'word_form': 'babiizigitaagozi', 'fst_analyses': ['babiizigitaagozi+VAI+Ind+Pos+Neu+3SgProxSubj']}, {'word_form': 'gaa-bi-ganoozhid', 'fst_analyses': ['PVSub/gaa+PVDir/bi+ganoozh+VTA+Cnj+Pos+Neu+3SgProxSubj+1SgObj']}, {'word_form': 'zhebaa', 'fst_analyses': ['zhebaa+ADVTmp']}, {'word_form': '.', 'fst_analyses': []}, {'word_form': 'agaawaa', 'fst_analyses': ['agaawaa+ADVDeg']}, {'word_form': 'go', 'fst_analyses': ['go+PCDisc']}, {'word_form': 'ninisidotawaa', 'fst_analyses': ['nisidotaw+VTA+Ind+Pos+Neu+1SgSubj+3SgProxObj']}, {'word_form': '.', 'fst_analyses': []}]",nj
Geyaabi ninibiiwaanikwe. Agwajiing niwii'-ando-bengwaanikweyaash.,My hair is till wet. I'm going outside to get my hair dry in the wind.,"[{'word_form': 'geyaabi', 'fst_analyses': ['geyaabi+ADVTmp']}, {'word_form': 'ninibiiwaanikwe', 'fst_analyses': ['nibiiwaanikwe+VAI+Ind+Pos+Neu+1SgSubj']}, {'word_form': '.', 'fst_analyses': []}, {'word_form': 'agwajiing', 'fst_analyses': ['agwajiing+ADVLoc']}, {'word_form': ""niwii'-ando-bengwaanikweyaash"", 'fst_analyses': [""PVTense/wii'+PVLex/ando+bengwaanikweyaashi+VAI+Ind+Pos+Neu+1SgSubj""]}, {'word_form': '.', 'fst_analyses': []}]",nj
Ogii'-agwaabinaan zhingwaakwan gaa-gii-piida'oonaad.,He pulled out the pine that he'd dragged here on the water.,"[{'word_form': ""ogii'-agwaabinaan"", 'fst_analyses': [""PVTense/gii'+agwaabizh+VTA+Ind+Pos+Neu+3SgProxSubj+3SgObvObj"", ""PVTense/gii'+agwaabizh+VTA+Ind+Pos+Neu+3SgProxSubj+3PlObvObj""]}, {'word_form': 'zhingwaakwan', 'fst_analyses': ['zhingwaak+NA+ObvPl', 'zhingwaak+NA+ObvSg']}, {'word_form': ""gaa-gii-piida'oonaad"", 'fst_analyses': [""PVSub/gaa+PVTense/gii+biida'oozh+VTA+Cnj+Pos+Neu+3SgProxSubj+3SgObvObj"", ""PVSub/gaa+PVTense/gii+biida'oozh+VTA+Cnj+Pos+Neu+3SgProxSubj+3PlObvObj""]}, {'word_form': '.', 'fst_analyses': []}]",nj
Nawaj agaasikodan gizhiiba'ataanaak. Agaashiinyi gaa-wii-shiiba'wad,Make your stretcher a little smaller. What you are going to stretch on it is pretty small.,"[{'word_form': 'nawaj', 'fst_analyses': ['nawaj+ADVDeg']}, {'word_form': 'agaasikodan', 'fst_analyses': ['agaasikodan+VTI+Imp+Sim+2SgSubj+0PlObj', 'agaasikodan+VTI+Imp+Sim+2SgSubj+0SgObj']}, {'word_form': ""gizhiiba'ataanaak"", 'fst_analyses': [""zhiiba'ataanaak+NI+Sg+2SgPoss""]}, {'word_form': '.', 'fst_analyses': []}, {'word_form': 'agaashiinyi', 'fst_analyses': ['agaashiinyi+VAI+Ind+Pos+Neu+3SgProxSubj']}, {'word_form': ""gaa-wii-shiiba'wad"", 'fst_analyses': [""PVSub/gaa+PVTense/wii+zhiiba'wi+VTA+Cnj+Pos+Neu+2SgSubj+3SgProxObj""]}]",nj
Wiinge bangan gii-naano-giizhigak. Gakina awiya maa'ishkamoog.,It's real quiet on Fridays. Everyone goes to town to shop.,"[{'word_form': 'wiinge', 'fst_analyses': ['wiinge+ADVDeg']}, {'word_form': 'bangan', 'fst_analyses': ['bangan+VII+Ind+Pos+Neu+0SgSubj']}, {'word_form': 'gii-naano-giizhigak', 'fst_analyses': ['PVTense/gii+naano-giizhigad+VII+Cnj+Pos+Neu+0SgSubj', 'PVTense/gii+PVQnt/naano+giizhigad+VII+Cnj+Pos+Neu+0SgSubj', 'PVTense/gii+naano-giizhigad+VII+Cnj+Pos+Neu+0PlSubj', 'PVTense/gii+PVQnt/naano+giizhigad+VII+Cnj+Pos+Neu+0PlSubj']}, {'word_form': '.', 'fst_analyses': []}, {'word_form': 'gakina', 'fst_analyses': ['gakina+ADVQnt']}, {'word_form': 'awiya', 'fst_analyses': ['awiya+PRONIndf+NA']}, {'word_form': ""maa'ishkamoog"", 'fst_analyses': [""maa'ishkam+VAI+Ind+Pos+Neu+3PlProxSubj""]}, {'word_form': '.', 'fst_analyses': []}]",nj
